company,job,summary
Core Security,Big Data Administrator, The team manages complex big data environments where machine learning algorithms and advanced analysis techniques are applied every day over billions of records...
MercadoLibre,Especialista en Data Engineer," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
OLX Group,Senior Data Engineer, Experience in productionizing machine learning models in e-commerce industry is a plus. Deep understanding of machine learning techniques and hands-on...
JP Morgan Chase,Software Engineering - Python," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
RecargaPay,Software Architect," Web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval,..."
MercadoLibre,Administrador de Base de Datos," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
JP Morgan Chase,Software Engineering - Python Software Engineer," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
Core Security Technologies,Big Data Administrator, The team manages complex big data environments where machine learning algorithms and advanced analysis techniques are applied every day over billions of records...
MercadoLibre,Líder Técnico de User Research," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
Grupo San Cristóbal,Científico de Datos," Para la postulación, debes contar con manejo en herramientas de explotación de datos, Machine Learning, conocimientos de estadísticas, automatización de..."
Accenture,Data Scientist for Market Research," Collaborate in raising awareness and understanding of data science research tools and outputs in Accenture and Accenture Research (NLP, deep learning, text..."
JP Morgan Chase,Software Engineering - Python Developer," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
JP Morgan Chase,Technology Infrastructure - UNIX Engineer," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
MercadoLibre,Analista Senior de User Research," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
JP Morgan Chase,Applications Development - C++ Developer," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
MercadoLibre,Ingeniero de Business Intelligence," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
Blue Patagon SRL,Consultor Hadoop / BigData, Conocimientos en Data Mining - Analytics - Machine Learning - Big Data (Deseable). Estamos en la búsqueda de un perfil Hadoop Ssr para desempeñarse en uno de...
ADN HR,Datascientist," Reinforment Learning es un plus. Conocimiento de modelos de Machine Learning (Preprocessing (pandas, numpy, etc), feature engineering (sklearn, etc), algorithms..."
Grandata,Full Stack Developer, Continuous learning about Big Data and Machine Learning. Grandata is looking for awesome Software Developers in Argentina to be part of our Social Universe team...
MercadoLibre,Analista Senior de Relaciones con Desarrolladores," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
QuanticMind,Front End Software Engineer," By reinventing ad management point solutions through machine learning, distributed cloud computing, and in-memory processing, QuanticMind delivers the most..."
MercadoLibre,Gerente de Business Intelligence," Desde aplicaciones móviles a machine learning, nuestra innovación tiene un claro foco:. En Mercado Libre estamos democratizando el comercio y los pagos en..."
