company,job,summary
Amazon.com,Sr. Music Curator, Thinks big and has conviction. Ability to use hard data and metrics to back up assumptions and recommendations....
SAP,SSFF Business Process Senior Consultant," Provide best/leading practices and guidance on cross module process and data integration. Here, you work alongside creative thinkers who share your intents,..."
TERSS Headhunting $ Outplacement,Lead BIG DATA SUPPORT Engineer, Experience in Big Data Architecture and Technologies (more than 1TB of data) and BI solutions; 5+ years’ experience as a Developer or a combination Developer +...
Cisco,Consulting Engineer Services," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
Citi,Economist Senior Vice President, Familiarity in the employment of specialized software in areas such as big data. To develop new models and research topics on areas such as big data (trending...
SAP,SAP Ariba Project Manager, Synthesizes learnings into a logical story using quantitative/qualitative data and/or sound reasoning. Customer Service and Support....
Comexions,Bilingual Call Center Representative," Hunger for big income due to your results. Proficiency with PC operation, data entry and MS office products. We are hiring!!!!!..."
AppDynamics,Senior Sales Engineer - Mexico," Experience with Cloud and Big Data technologies. Ideally, you are ambitious and self-motivated, and have experience with application performance management..."
Diageo,Consumer Planning / Insights Sr Manager," Ensuring the brand / trade teams understand consumer reasons for performance (using tracker, sales data, trends data etc), and act on the implications of that..."
Amazon.com,"Marketing Manager, Digital Music", Think big and rethink how to better serve our customers. Knowledge of Excel and demonstrated experience using data and metrics to measure performance and...
Cisco,Solutions Architect Analytics, Cisco Customer Experience (CX) Americas team is looking for an experienced Big Data consultant to work with one of their leading clients to design and develop...
amdocs,Java Developer," From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are..."
OGUM Consultoria Ti y Rh,Consultor Funcional/ Desarrollador Phyton, Consultor Funcional/ Desarrollador Phyton WS/Amazon Cisco Big Data Cloud Computing certificado e-commerce dynamics 365 Ingles 100 % Sueldo...
Amazon.com,"Mexico Sr. Consumer Marketing Manager, Alexa Skills", Comfortable using data to make decisions. They will be metrics-driven with strong ownership and the ability to think big and learn new channels quickly....
Cisco,Datacenter and Routing HTE for GSP account," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
Buró de Crédito,Programador Java," De 2 años en desarrollo Java, arquitectura de Software, ITIL y paradigma de Big Data. Licenciatura o Ingeniería en Sistemas o afín...."
SAP,SSFF Business Processes Principal Consultant," Provide best/leading practices and guidance on cross module process and data integration. Here, you work alongside creative thinkers who share your intents,..."
Amazon.com,"Sr. Label Relations, Digital Music"," Thinks big, starts small, grows fast. Ability to clearly communicate these data insights to others. Analytical and quantitative skills, ability to use hard data..."
Aspen Technology,Sales Account Manager, It combines deep process modeling expertise with real time big data to extend asset life and effectiveness....
Cisco,Security HTE for GSP account," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
Cisco,High Touch Technical Support - Voice," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
Randstad,big data sr, BIG DATA Semi Sr. Knowledge and Demonstrated skills on Big Data Technologies. Demonstrated foundational mastery in applied data technologies....
Amazon.com,International Tax Planning Manager, Review financial data for proper application of tax laws and transfer pricing. 8+ years of tax experience with exposure to international tax (planning...
Cisco,Service Delivery Manager - Security," Today, we are building teams that are expanding our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and..."
International Flavors and Fragrances,Facilities Manager Mexico," Compiling statistical building data. Mechanical, Electrical or Industrial Engineering Degree will be consider a big plus...."
