company,job,summary
Alloy,Data Engineer, Maintain internal Alloy logic to automate the interpretation of data across channels through the unified Alloy data model....
Harnham,Data Science Engineer," Senior Data Science Engineer. With Data Science being the driver, this Senior Data Science Engineer allows you to work cross functionally across different teams..."
AVAST Software a.s.,Data Scientist - IoT Ring," Experience with data science toolkits (Pandas, scikit -learn, Tensorflow). Mine data to uncover hidden correlation among data...."
Castle Global,Data Scientist," You have 1-2 years of industry data science experience. Data Scientist Role. We label training data through Hive Data, a distributed workforce of over 300,000..."
Amazon.com,Global Segment Leader - Machine Learning," Job Description Do you love cutting-edge cloud technology? Do you live for partner ecosystems? AWS Practice Leaders are responsible for recruiting, developing..."
Uber,Data Engineer-LiDAR," Experience with analyzing sensor data. 2-3 years experience with data pipelines and ETL. Experience with data ingestion from packets (sockets, pcaps, protobuf)...."
Matthews Asia,Research Analyst, REPORTING RELATIONSHIP: Lead Portfolio Manager ROLE AND RESPONSIBILITIES: We are seeking an individual to join the Matthews Asia ESG Fund to perform...
Galvanize,Data Science Curriculum Developer," Work closely with Data Science Curriculum team, Data Science Instructors, Software Curriculum Developers and our Instructional Design team to integrate modern..."
DocuSign,Senior Data Analyst," Senior Data Analyst. Exposure to Statistics, Econometrics, Data Science, and Machine Learning concepts and tools...."
Volta Charging,Data Engineer," Use tools like Sigma to analyze our data. For this role, you will help own our data ingestion and exposure pipelines...."
Automattic Inc.,Business Data Engineer," Hands-on, production experience with big data technologies (Hadoop, Hive, Impala, HBase) and data pipelines...."
Wish,Risk Data Scientist," Interact with data engineers/scientists to build out web scale Risk data mart, and become the subject matter expert of the internal risk data...."
Walmart,Data Scientist, Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Matthews Asia,Research Analyst - Japan," Solid Excel skills and preferably some knowledge of data management. Lead Portfolio Manager, Japan Fund...."
"Williams-Sonoma, Inc.","VP Marketing, Strategy, Analytics & Data Science", Predictive analytics and data science best practices to drive growth and value. Data Innovation &amp; Campaign Execution....
Vonage,Data Engineer," BS/MS in Computer Science, Data Analytics, Statistics, or equivalent experience. Experience with data visualization...."
Fanatics Inc.,Data Scientist," Dive into complex data sets to analyze trends, identify opportunities and improve upon existing marketing solutions...."
Automattic Inc.,Data Engineer, You’re committed to data quality. We are looking for a full-stack data engineer. The curiosity and determination to understand and improve data flows....
Hearst Auto,Analyst," Analyst, Data Science – Digital Display Media, Business Intelligence and Automotive Marketing. Creating data visualizations in web-based dashboards (e.g.,..."
Scaleapi,Data Scientist," 3+ years of industry experience in data science broadly. Set up, maintain, and scale our data analytics infrastructure...."
LimeBike,Data Scientist," As a data scientist, you will proactively gather data to transform signal into insight. You will work with our data engineers to construct meaningful metrics..."
Square,"Data Engineer, Web", Be the expert on end-to-end data flow for website data. Make underlying data architecture improvements and integrating new data sources Qualifications....
University of California San Francisco Medical Cen...,HR Business Data Analyst," Master’s degree in quantitative field, data science, or business. Bachelor’s degree and a minimum two years experience in data analytics or data management;..."
Amazon.com,Data Center Chief Engineer," Act as an escalation point for all facilities-related issues within the data center, escalating to the Data Center Facility Manager as needed...."
Workbridge Associates,Data Scientist - First Data Science Hire!, Workforce collaboration and data analytics platform startup in SoMa is hiring their first data science hire....
Opendoor,Data Scientist (Predictive Services), A love of tackling complexity in real-world datasets such geo data and transaction data. We’re seeking an exceptional Data Scientist to join us in building data...
Infostretch Corporation,Data Ops Engineer," Experience working with Market Data. Provide Level 2 production support for data pipelines, working with the platform team as well as data suppliers and..."
Credit Sesame,Senior Data Analyst," Exposure to Statistics, Econometrics, Data Science, and Machine Learning concepts and tools. Engineering/technical background analyzing large data sets...."
Celgene Corporation,Data Engineer," Work with R/ED study teams to develop R/ED information management plans that outline data capture, data flow, data queries, manual checks, and data listings..."
BNY Mellon,Data Engineer," 5+ years experience as a data engineer, data scientist, software engineer or similar. Experience with overall data architecture and infrastructure or similar...."
The Climate Corporation,Data Scientist - Biostatistics," We apply big data and cloud computing in concert with some of the richest agronomic datasets in the world including weather data, environmental sensors, soil..."
Wealthfront,Quantitative Analyst / Data Scientist," Experience analyzing complex data and building statistical models. Contribute to the development of infrastructure for modelling, optimization, backtesting,..."
Facebook,"Data Scientist, Analytics – Instagram Live Infra"," Building key data sets to empower operational and exploratory analysis. Apply your expertise in quantitative analysis, data mining, and the presentation of data..."
IPG Mediabrands,"Magna - Research Analyst, Intelligence Solutions & Strategy", Strong experimental science background. Analyze qualitative and quantitative data. Clean and weight data as needed....
Frontapp,Data Engineer," At least 4 years of experience as a Data Engineer, or in a role that required expertise in data pipeline technologies. Own the quality of our analytics data...."
ThirdLove,Data Engineer," Experience with data visualization, data mining, and preferably statistical tools. Work with the tech team to establish data standards, ensure standard..."
JP Morgan Chase,CIB – Equity Research – Energy - SMid Cap E&P – Analyst," J.P. Morgan is a leader in financial services, offering innovative and intelligent solutions to clients in more than 100 countries with one of the most..."
Branch,Product Data Analyst (Redwood City)," Advanced degree in statistics, economics, computer science or 2+ years of practical experience in statistics or data science...."
Digital Promise,Quantitative Researcher/ Data Scientist," Develop analysis plans, analyze data sets, and contribute to reports and publications. Ability to program an entire data analysis workflow in R (e.g., wrangle,..."
Uber,Product Analyst," Champion for Data:. Drive Insights Through Data:. All Marketplace Product Analysts work closely with Product, Data Science, Engineering, and Operations on fast..."
Dropbox,Data Engineer, Build data pipelines and own data quality for various data flows. Interface with internal data consumers to understand data needs....
Uber,"Product Analyst, Eater"," Work with data scientists, engineers and data ops to ensure that relevant data is accurate and available. Work with Product Managers, Product Ops, and Data..."
CyberCube Analytics,Data Scientist," Design and build new analytical data models and/or enhance existing data models. Portfolio of public and private data science projects you’re proud of (GitHub,..."
Helpshift,Data Scientist," You will drive data culture and evangelize use of data science in all possible aspects of business. Strong fundamentals in machine learning, general statistics..."
ThirdLove,Data Scientist, Expertise in developing high quality and reusable data science algorithms supporting a wide variety of customer and business outcomes....
TransFair USA,Data Scientist," This individual will also assist the Director of Data Science with building the future of data engineering and analytics at Fair Trade USA, which may include..."
Fair Trade USA,Data Scientist," This individual will also assist the Director of Data Science with building the future of data engineering and analytics at Fair Trade USA, which may include..."
University of San Francisco,Data Engineer, Working with University staff and other stakeholders to identify and upload new data sources into the data warehouse....
Dropbox,"Head of Data Science, Growth", The Revenue Data Science team will deliver analytics and tools to drive revenue by combining the rich internal data across 500M+ Dropbox users and external data...
Tenable,Technical Product Manager - Data Science," Tenable is looking for a Technical Product Manager - Data Science, responsible for driving the product strategy and management of our data science engineering..."
