company,job,summary
Goldman Sachs,"Savings - Deposit Marketing - Product Management Associate - Chicago, IL"," Through the use of machine learning and intuitive design, we provide customers with powerful tools that are grounded in value, transparency and simplicity to..."
Dyson,Senior Business Analyst," Working knowledge of statistics and common machine learning algorithms (Decision Trees/Random Forrest, XGboost, Clustering, Naïve Bayes, etc.), programming..."
Centro,ASSOCIATE DATA SCIENTIST, Rapidly develop proof-of-concept machine learning models using open source algorithms. Continuously learn new approaches in machine learning and feature...
"Anthem, Inc.",Advanced Analytics Consultant-PS11041," Deep consumer Insights with machine learning predictive models for risk adjustment and health profiling. Digital Health, Healthcare Analytics, Data Science,..."
The University of Chicago,Research Director," Direct a portfolio of applied research projects either focused on homelessness/housing, workforce development, or financial stability or a cross cutting..."
JP Morgan Chase,Program Manager - Global Access," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
Akuna Capital,Junior Quantitative Developer," Linear Algebra, Numerical Methods, Statistics, Optimization, Signal Processing, Computer Architecture, Machine Learning...."
ZS Associates,Biostatistician," Knowledge of Bayesian statistics, machine learning, predictive modeling and clinical trial data design/analysis would be a plus...."
TransUnion,DIRECTOR OF CONSUMER CONTENT STRATEGY," You’ll stay challenged because we’re innovating through personalization, machine learning and conversational UI...."
JP Morgan Chase,Business Systems Analysis," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
[24]7,Account Director," Using artificial intelligence and machine learning to understand consumer intent, [24]7’s technology helps companies create a personalized, predictive and..."
BMO Financial Group,Associate / Analyst - Business Data Analysis," Knowledge of machine learning. By learning from each other’s differences, we gain strength through our people and our perspectives...."
Accenture,Accenture Security Analyst - Location Negotiable - Entry Level," You’ll have the opportunity to collaborate with the brightest minds in security, leverage our advanced research and use next-gen technology like AI, machine..."
"Nexant, Inc.","Data Scientist I (Hinsdale, IL)"," Coursework and/or practical experience in machine learning, applied econometrics and/or statistical program evaluation. About the Job...."
Zurich North America,Data Science Specialist," Working with statistical and predictive modeling techniques such as generalized linear modeling, decision trees, association rules, clustering, regression,..."
JP Morgan Chase,Service Now Project Manager," In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and..."
Loadsmart,Account Executive (Chicago)," Our focus is on designing and building the best tools for our team and our customers, using machine learning algorithms to connect cargo with trucks...."
Amazon.com,"Principal Specialist Sales, Database and Analytics"," Create &amp; articulate compelling value propositions around AWS database, analytics, and machine learning services...."
Google,"Software Engineering Intern, MS, Winter 2019"," Web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval,..."
UL LLC,Data Scientist," Familiar with common data analysis / machine learning frameworks; Contribute to a Safer, More Secure, and More Sustainable World...."
Federal Reserve Bank of Chicago,Information Security Data Analyst, Familiarity with machine learning/AI. Information Security Data Analyst-256545....
Moogsoft,Sales Engineer (Chicago), Moogsoft is the creator of Moogsoft AIOps - a next generation approach to IT Operations and Analytics driven by real-time machine learning....
Dyson,National Education and Training Manager," Global R&amp;D continues apace, with Dyson developing ambitious new technologies including power systems, motors, vision systems, filtration systems, robotics,..."
Amazon.com,Big Data Practice Manager," You will also work closely with your Professional Services colleagues in Machine Learning, High-Performance Computing, and Internet of Things (IoT) to provide..."
