company,job,summary
Looker,"Pre-Sales Solutions Consultant, Data Analytics - SF"," 2+ years of client-facing/consulting, preferably in Data Analytics. A passion for exploring data and extracting valuable insights...."
Rally Health,Data QA Analyst," 5+ years experience in Data Profiling and QA fields with concentration on data transformations, data manipulations, or reporting. Data QA Analyst...."
Conversant Media,Account Representative, Alliance Data participates in E-Verify. We are the world’s leading affiliate marketing network - we transform digital marketing with the help of big data and...
Uber,"Data Analyst, Rider Growth"," Excellent SQL skills, Big Data environment (Hadoop, Hive) and development experience in at least one scripting language (Python or R preferred)...."
"Williams-Sonoma, Inc.","Associate Buyer, Windows - Pottery Barn"," We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. Founded in 1956, Williams-Sonoma, Inc...."
Castle Global,People Operations Associate," We label training data through Hive Data, a distributed workforce of over 300,000 workers around the world generating millions of high quality pieces of data a..."
Fivetran,Data Analyst, Our product is zero-configuration data pipeline that hundreds of companies use to power their data warehouses and BI tools....
SiriusXM,Data Analyst - Automatic Labs," Dashboarding and data visualization tools,. Working alongside Data Scientists who dig deep into Automatic's data, you will help them translate complex findings..."
University of California Berkeley,Data Analyst, Strong skills in analyzing and synthesizing large amounts of data to illuminate key insights for decision makers....
"Williams-Sonoma, Inc.",Industrial Designer - Williams Sonoma," Gather market data on key fashion trends considering such elements as fabrication, materials, color schemes and designs...."
Visa,Big Data Engineer," Work on MPP, Big Data technologies like Hadoop, GreePlum, Data Governance implementations and support. Strong experience with Big Data Technology, including..."
Wipro LTD,Developer Big Data," Hadoop Big Data, Data Management. Key skills required for the job are:...."
Hinge Health,Data Engineer, Experience implementing and maintaining data infrastructure. Guide the development of Hinge Health’s data infrastructure....
Affirm,Data Scientist - Machine Learning, Conduct ad-hoc data analyses; Deep understanding of and experience with machine learning and data analysis. What You'll Do....
Apple,Siri - EPM -Machine Learning & Data Science Search," MS or PhD in Computer Science, Mathematics, Statistics, Physics or related engineering degrees with focus in machine learning, data mining or statistics...."
Figure,Data Scientist, Experience using TensorFlow (a big plus) or Python to manipulate data and draw insights from large data sets. Develop custom data models and algorithms to apply...
Bank of the West,Data Analytics Analyst," Data Analytics Analyst. Constructs data metrics, statistics, and analyses. Provide trend analysis through the data analysis...."
"Williams-Sonoma, Inc.",Merchandising Coordinator - PB Kids & PB Teen," Input, proof and analyze data for all areas of merchandising management. We've seen some big changes since our first brick-and-mortar store opened more than..."
Twitter,Product Data Scientist, Twitter users generate many terabytes of data every single day; Twitter data scientists craft increasingly sophisticated models of users and content....
Seasoned,Data Engineer," In this role you will work in our data team, joining a Senior Data Engineer, Data Scientist, and Data Analyst...."
Kaiser Permanente,Health Data Analyst IV," Trains and coaches less-experienced healthcare data analysts on data retrieval techniques, programming practices, and statistical analysis and data..."
Harnham,Data Analyst, Experience pulling unstructured data from disparate data sources. Pull data using SQL. Experience wrangling huge data sets....
Blue Owl,Data Scientist - Insurance, This role will require the candidate to be extremely hands on with building models and data driven tools. We invite you to help us build an InsurTech company...
Glu Mobile,Data Analyst," Experience with Hadoop, HP Vertica, and other big data technologies. Using state of the art big data tools such as Hive, Presto and Redshift, to sift through..."
Opendoor,City Launcher," It’s a big mission (but we love big missions). Able to draw insights from data, but also to make decisions based on imperfect data...."
Uber,Data Analyst - Financial Intelligence," Work with Accounting, FP&amp;A, engineering, data science, product management teams and other business stakeholders in mining and analyzing financial and entity..."
App Academy,Career Coach (SF), Decisions should be backed by data. See the big picture and question the status quo. App Academy is building world-class training programs that help students...
Mother Jones,Newsroom Data Scientist," At Mother Jones, you’ll have a chance to apply your data superpowers to everything from breaking stories and big investigations to the challenges of building a..."
"Williams-Sonoma, Inc.",Supply Chain Coordinator - Pottery Barn, Comfortable entering and retrieving data from multiple systems. We've seen some big changes since our first brick-and-mortar store opened more than half of a...
Google,"Communications Specialist, Google Cloud"," Familiarity with Iaas, PaaS, Big Data, SaaS, AI and office productivity services and companies. It's our job to help inform and educate users, advertisers,..."
Moody's Analytics,Data Intelligence Analyst," The Data Intelligence Analyst may perform a variety of different data operations/data management job functions, including data acquisition, data processing,..."
Salesforce,"Analyst, Customer Success Strategy & Analytics", Partner with cross-functional teams to extract insights from data and deliver strategic recommendations. He or she has a passion for identifying opportunities...
RocketSpace,Events Associate- Contract," Track and analyze data to maintain and improve quality of event programming. Support logistics and event set up for member events, including notify building..."
Oakland Athletics,Marketing Data Analyst, The Marketing Data Analyst will be responsible for analyzing marketing data and providing analytic insights in order to increase revenue generation....
Walmart,"Senior Director I, Big Data Infrastructure", The Walmart Labs Big Data Platforms team is seeking a Director of Engineering for its Big Data infrastructure team....
First Republic Bank,Fair Lending Data Analyst," Works with data providers to ensure quality data and timely monthly processes and extracts, transforms, and imports data into database...."
Managed by Q,Handyperson (SF)," An insanely supportive, hardworking team, building something BIG. Possess working smartphone that has the capabilities to download the Managed by Q application..."
Great American Insurance Group,Claims Assistant - Workers' Compensation," Inputting data into the ClaimCenter system, issuing payments and composing correspondence; Updates claims files and maintains, corrects and / or updates data..."
Comcast,Retail Sales Professional (Part Time), Effectively inform and educate customers- Provide product demonstrations to illustrate to customers how XFINITY products and services improve the customers’...
City & County of San Francisco,Public Service Aide - Associate To Professionals-2018," Researches and analyzes data; Uses a laboratory information management system to track, control and report analytical data to variety of water quality clients;..."
Autodesk,Marketing Data Analyst, Marketing Data Analyst. Data Hygiene and Maintenance. Become a subject matter expert on marketing data and lead the data effort to build Multi Touch Attribution...
Google,Big Data and Analytics Cloud Consultant," As a Big Data and Analytics Cloud Consultant, you will work directly with Google’s most strategic customers on critical projects to help them transform their..."
"Williams-Sonoma, Inc.",Designer - Mark and Graham, We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. About the Brand:....
Ubisoft,"Associate Director, CRM"," Partner with Analytics and Data Science teams to help apply data to marketing tactics and audience segmentation on all CRM channels, and to help understand..."
Twitter,Director," Implement shared services data projects, delivering data requirements, data quality, data mapping and transformation, data migration and reconciliation and..."
Ahrefs,Data Scientist (Big Data Analytics)," Experience with Elasticsearch or similar DB, and ability to conduct independent research utilising large unstructured data sets;..."
Reciprocity,Product Implementation Expert - San Francisco," Data Import - We get data from our customers in all kinds of formats, and you’ll help get that data uploaded into ZenGRC...."
