company,job,number_of_evaluations
Thales Group,Apprentissage - Ingénieur Big Data (H/F),791 avis
Saint-Gobain,Stage Data Analyste Supply Chain (H/F),1 989 avis
Keyrus,Senior Data Scientist / Crantastic Tech Lead R H/F (Paris),8 avis
SOCIETE GENERALE,Stage de développeur Front-End / Back-End Data Science h/f Puteaux,1 400 avis
L'Oreal,Data Scientist,2 411 avis
SOGECAP,Alternant Data Scientist-(H/F),1 400 avis
Shift Technology,Data Scientist (Intern),-
AXA General Insurance,Data Scientist (F/H) - PARIS,682 avis
Ubisoft,Data Scientist – Analytics M/W,155 avis
Other Entities,BUSINESS DATA DESIGNER-(H/F),-
Teamnet France,ARCHITECTE WEB / BIG DATA (H/F),-
Innovation maker,Applied Research Scientist – Machine Learning H/F,-
Gameloft,Data Science Director,47 avis
IPSEN,Alternant Business Analysis & Data Mining,22 avis
Algorithm lover <3,Senior Data Scientist H/F,-
soft.computing,Consultant Data Engineer,-
Meritis Finance,Architecte Big Data (H/F),-
Carlson Wagonlit Travel,Strategy data analysis intern,533 avis
Keyrus,Consultant Big Data H/F (Paris),8 avis
KPMG,Stagiaire FRM Credit & Market Risk / Data-scientist,4 383 avis
Orange Business Services,Data scientist junior H/F,1 469 avis
PORTOFOLIO CONSULTING GROUP,Proposition d’offre Partner F/H,-
MFG Labs,Data Scientist,-
EY,Consultant débutant en Analytics H/F,5 232 avis
Premier Ministre,Chargé(e) de mission « sécurisation des projets»,2 avis
Orano,STAGE - Data Sciences / Data Analyst F/H,646 avis
ASTRAKHAN,Consultant Data & Digital Integration,-
Group Corporate Functions,DATA SCIENTIST pour le Data Lab IGAD-(H/F),-
PwC,Manager Data & Analytics Transactions,5 524 avis
DANONE,"STAGE - Statistique, nutrition, santé publique et attentes consumers - 6 mois - Septembre 2018",887 avis
Hogan Lovells,STAGIAIRE EN DATA PROTECTION,-
JOHN PAUL,Data Manager F/H,7 avis
VULOG,Mapping & Data Trainee,-
DATAVALUE CONSULTING,Data Scientist F/H,-
MFG Labs,Data Analyst,-
Manomano,Data Scientist Senior (H/F),-
Dream Catcher Sales,Business Developer Confirmé(e) - Data Science Paris F/H,-
Micropole,Consultant confirmé Data Scientist – H/F,9 avis
Exakis,Senior Consultant en organisation – Data Science (H/F),8 avis
-,Développement de méthodes de prédiction et de détection d’événements rares basé sur l’apprentissage profond,-
L'Oréal,Machine Learning & Deep learning Scientist,2 411 avis
AMARIS FRANCE SAS,Développeur Big Data F/H,-
SEGA,Data Analyst,18 avis
Amplitude Studios,Data Analyst,-
JCDecaux FR,Stage - Data Scientist IoT - Mai/Juin 2018 H/F,183 avis
SHOWROOMPRIVE COM,LEAD DATA SCIENTIST - F/H,-
Premier Ministre,Apprenti.e Chargé.e d'accompagner et de suivre la mise en œuvre du plan d'action national,2 avis
Groupe ADP,Stage - Ingénieur Data Sciences H/F,2 avis
EMÉRIQUE & PARTNERS,Reserving Actuary – Life Reinsurance -- Paris ou Royaume Uni F/H,-
AXA,Alternance - Actuaire/data scientist - Optimisation tarifaire - H/F,-
Atos,Stagiaire Consultant Analytics Big Data (H/F),1 626 avis
EY,Consultant expérimenté Data & Analytics Secteur Banque H/F – Paris,5 232 avis
EY,Consultant Actuaire - Data et Analytics - Assurance H/F,5 232 avis
La Banque de France,ASSISTANT A L'AMELIORATION DES STATISTIQUES D'INVESTISSEMENTS DIRECTS - H/F,-
EY,Consultants Expérimentés en Santé/Public/Médico-Social H/F,5 232 avis
Groupama,Chargé(e) de Systèmes Décisionnels H/F,309 avis
Thales Group,Data scientist orienté recherche / machine learning pour des applications dans le domaine de la cybersécurité et des transports (H/F),791 avis
