company,job,number_of_evaluations
Hewlett Packard Enterprise,Technical Sales Representative with Dutch or one of the Nordic languages,3.400 valoraciones
Talent Search People,Technical Consultant with Native Level of Swedish,4 valoraciones
Hewlett Packard Enterprise,Senior Inside Sales Account manager with Dutch/Swedish/Finish/Norwegian/Danish,3.400 valoraciones
NoviCap,Señor developer,-
DNV GL,Javascript Developer at GreenPowerMonitor,114 valoraciones
DNV GL,Clojure Developer at GreenPowerMonitor,114 valoraciones
DNV GL,QA Developer at GreenPowerMonitor,114 valoraciones
Page Personnel España,Controller French Market (h/m),111 valoraciones
Criteo,Sales Manager Mid-Market DACH (German Speaker),-
Page Personnel España,Head of Software Development (h/m),111 valoraciones
Catenon,Senior Software Developer,-
AVUXI,"Programador Full Stack .Net - Javascript, Barcelona",-
Page Personnel España,Accounts Payable Specialist with Dutch (h/m),111 valoraciones
Polyglot Group,Senior Java Engineer,-
Michael Page,IT Account Manager (Seguridad e Infraestructura) en Barcelona (h/m),156 valoraciones
Huxley Supply Chain,Analista en Java y Spark,-
Page Personnel España,AP Accountant with German (h/m),111 valoraciones
Getwith,Big Data Architect,-
Barcelona Supercomputing Center (BSC),Junior Developer of Big Data technologies for High Performance Computing (RE1),-
Regus,Development Manager – API and Data,607 valoraciones
Carnovo,Data Engineer / Business intelligence,-
Stuart,Data Engineer (Barcelona),-
Getwith,Senior Big Data Engineer,-
Getwith,Consultor BI/Data,-
Getwith,Big Data Engineer.,-
Grupo Constant Selección,Business Intelligence en Barcelona,-
InnoIT,Data Engineer,-
Zeelo,Data Engineer (Python),-
Satellogic,Data Scientist Intern,-
AIS Group,Data Scientist,-
Rocketroi,Data Scientist,-
AdQualis Executive Search,Arquitecto Business Intelligence y Analytics - AQES-B9931,-
InnerWorkings,Project Coordinator,50 valoraciones
Ocre,Python Software Engineer Jr.,-
Ocre,Python Software Engineer,-
Red Points,Machine Learning Specialist,-
Toro,L2 Support Engineer,45 valoraciones
