company,job,number_of_evaluations
ING,Market Risk Modeller,1.460 reviews
Textkernel,Senior Back-end Developer,-
HTBA,Azure IoT Engineer,-
EY,Advisor WO Financial Services Risk — quantitative analysis (EMEIA FSO),5.232 reviews
CareerValue,Data scientist bij Hollands start-up glorie,3 reviews
ABN AMRO Bank,Senior Quantitative Risk Analyst,1.008 reviews
Luminis,Senior developer / architect,-
Elsevier,Lead Software Engineer,469 reviews
Textkernel,Front-end Developer,-
Swapfiets,Back-end Developer (C#),-
McKinsey & Company,"Analytics Expert - Insurance, New Ventures",361 reviews
Darwin Recruitment,Platform Engineer,-
APG,Full-Stack Developer Ruby on Rails,47 reviews
Deloitte,Director Regulatory Risk,6.694 reviews
Deloitte,Scriptie stagiair Regulatory Risk,6.694 reviews
BearingPoint,Senior Advanced Analytics Consultant,-
Universiteit van Amsterdam (UvA),Postdoctoral researcher in sensory research,-
Harnham,SENIOR DATA SCIENTIST- FINANCE- OPERATIONAL RISK,-
KPMG,Scriptant Health IT Advisory,4.383 reviews
Makerversity,Stage: Uitdagende marketingstage bij creatieve startup in Amsterdam,-
Abbott Laboratories,Head Global Statistics,3.011 reviews
mediaan,Full Stack Developer (junior / medior / senior),-
Opus Recruitment Solutions,"Infrastructure/Cloud Engineer | OpenStack | Amsterdam | Navigation | €60,000",-
Darwin Recruitment,Senior Big Data Engineer - Projects from scratch - €75K,-
Darwin Recruitment,Scala Developer - AKKA/ AWS/ Docker - Startup - 60K,-
HTBA,Azure Expert,-
Darwin Recruitment,Backend Developer - Scala/ AWS - Amsterdam - Start-up - €70K,-
StackOps,Cutting New Grounds as Linux DevOps Engineer,-
PwC,Credit risk & Quantitative Senior Consultant,5.524 reviews
Ahold Dellhaize,AI for Retail Lab Director / Assistant professor AI & Information Retrieval,-
Ahold,AI for Retail Lab Director / Assistant professor AI & Information Retrieval,71 reviews
PHIND,Teamlead Data Science,7 reviews
Textkernel,Senior Linux System Engineer,-
PHIND,Data Science & Analytics Traineeship,7 reviews
HeadFWD,Creative & Talented JavaScript Developer,-
The Mobile Company,Full Stack Web Developer,-
PHIND,Data Analytics Traineeship,7 reviews
Finest People,Senior Marketing Data Analist,11 reviews
Airborne Oil & Gas,Internship Electrical Engineering,3 reviews
Modis International,"TECHNICAL CONSULTANT - AMSTERDAM, DEGREE, ENGINEERING",-
Modis International,TECHNICAL CONSULTANT - AMSTERDAM,-
InterQuest Group,Ruby Developer,-
Harnham,SENIOR DATA ENGINEER- RETAIL,-
ZyLAB,.NET Software Developer,-
Darwin Recruitment,Sr Scala Developer - BigData/Scalaz/Akka - up to €75K,-
Yacht,Yacht IT Traineeship,32 reviews
Digital Source,Ruby on Rails Developer,-
Opus Recruitment Solutions,DevOps Engineer (SaaS),-
Opus Recruitment Solutions,DevOps Engineer,-
Elsevier,Senior Front-End Developer,469 reviews
Fahr-Becker,Full Stack Microsoft Developer,-
VU,Postdoc position in Predictive Analytics,-
CodeGuild,Core Java Developer Machine Learning,3 reviews
CodeGuild,Senior full-stack JavaScript ontwikkelaar | NodeJS React Mobile Microservices,3 reviews
Krosto Techniek,engineer vision,-
Darwin Recruitment,Senior Scala Developer - Join the best in the field! - €75K,-
InterQuest Group,Machine Learning/AI Full Stack .Net Developer,-
Park Plaza Amsterdam Airport,Leerling kok,3 reviews
CodeGuild,Mobile JavaScript Developer Amsterdam & Utrecht,3 reviews
Albert Heijn,Java Developer,2.000 reviews
Opus Recruitment Solutions,Support Engineering Team Lead,-
CareerValue,Medior/Senior Ondernemende Data-Science consultants,3 reviews
HeadFWD,Java Developer,-
Brunel,Data Analyst,90 reviews
100 Grams Software B.V.,Lead Backend Developer bij 100 Grams Software B.V.,-
Textkernel,Senior Java Developer,-
Michael Page NL,Senior Risk Modeller - Retail Banking,-
Modis,"Technical Consultant - Amsterdam, Degree, Engineering",-
Modis,Technical Consultant - Amsterdam,-
HTBA,Business Intelligence Ontwikkelaar,-
Digital Source,Front-End Developer,-
Robert Walters,Risk Modeller,46 reviews
Brunel,Data Scientist,90 reviews
HTBA,Business Intelligence Developer,-
PPHE Hotel Group,Chef de Partie,-
CodeGuild,Full stack developer NodeJS React | 3 days remote!,3 reviews
Brunel,Data Analist,90 reviews
PHIND,Junior backend developer,7 reviews
Traffic Builders,Vacature software developer .NET C#,10 reviews
Park Plaza Amsterdam Airport,Chef de Partie,3 reviews
AmberScript,Stage: Sales stage A.I. Software startup,-
CareerValue,Gezocht: Junior Microsoft System Engineer met HBO ICT,3 reviews
Zonnepanelendelen,Medior Software Engineer bij Zonnepanelendelen,-
CodeGuild,"Frontend Developer | Experiment with Angular 4, React & Node",3 reviews
Brunel,Traineeship IT,90 reviews
Brunel,IT Traineeship,90 reviews
Brunel,Business & IT Traineeship,90 reviews
Opus Recruitment Solutions,Senior Linux System Engineer,-
HeadFWD,Senior/Lead JavaScript Developer: Expert in SPA Frameworks,-
jobbuilders.nl,.Net Developer,-
CodeGuild,"Senior Java Software Engineer | AWS, Docker, Cassandra",3 reviews
Tempo-Team,Java developer / Elastic Search Randstad Groep Nederland - Diemen,206 reviews
CodeGuild,Mdr/Sr Java Software Engineer | ProdDev,3 reviews
CodeGuild,Senior/Lead Java software engineer | Taaltechnologie,3 reviews
CodeGuild,Disruptive Core Java Software Engineer,3 reviews
CodeGuild,Leading Java Software Engineer,3 reviews
PHP Professionals,Junior/Medior PHP Developer voor Video ad-tech provider,3 reviews
CodeGuild,Java Developer,3 reviews
CodeGuild,Lead Java Software Engineer Amsterdam Big Data,3 reviews
BK Professionals,Stage HBO Werktuigbouwkunde Onderzoek Internet of Things (Per september 2018),6 reviews
Randstad,java developer / elastic search randstad groep nederland - diemen,11.074 reviews
Yacht,Java developer / Elastic Search Randstad Groep Nederland,32 reviews
