company,job,number_of_evaluations
PwC,Projektmanager (w/m) Innovation und Digitalisierung,5.524 Bewertungen
SAP,Entrepreneur in Residence,1.598 Bewertungen
Zalando SE,Assurance Analyst,78 Bewertungen
optilyz,JavaScript Developer (React/Redux) (m/f),-
Corning,Development Engineer Optoelectronic Packaging (m/f),-
Harnham,HEAD OF DATA SCIENCE – ONLINE (M/F),-
Michael Page,Data Scientist - Deep Learning & Machine Learning (m/f),156 Bewertungen
staramba SE,Head of Development VR (f/m),-
medneo GmbH,medneo Tech Lab internship (m/f),-
Spotcap,Business Intelligence Analyst (m/f) - Berlin,-
eBay Inc.,Product Analyst,1.395 Bewertungen
Deloitte,Senior- / Manager (m/w) Consulting - Data Scientist Analytics,6.694 Bewertungen
Corning,Working Student (m/f) Marketing,-
zLabels GmbH,Senior Research Engineer - Data Insights Team - zLabels,-
Aspire,Data Scientist,-
Bayer,Postdoc in Pathology/Digital Pathology (m/f),2.355 Bewertungen
Amazon.com,Performance Engineer - AWS Redshift,24.701 Bewertungen
Designit,Design Research Lead,-
Blinkist,Working Student - Customer Feedback Analyst (m/f),-
Amazon.com,Consultant,24.701 Bewertungen
BearingPoint,Analyst (m/w) für den Themenbereich Digital Consulting (Data Science) am Standort Berlin,149 Bewertungen
Lesara GmbH,Python Developer (m/f),12 Bewertungen
Team2venture,Frontend Engineer,-
Amazon.com,"Consultant, Security",24.701 Bewertungen
CrossEngage GmbH,VP Engineering (m/f),-
AUTO1 Group,Python Developer (f/m),27 Bewertungen
issuu,Full-stack Developer (Berlin),-
foodora,Software Engineer in Test (m/f),54 Bewertungen
Zalando SE,Data Architect - Pricing & Forecasting,78 Bewertungen
DB,Sekretariat (w/m) in der Konzernleitung,37 Bewertungen
Novartis,Digital Acceleration Manager (W/M/D),2.601 Bewertungen
Corning,Praktikant (m/w) Informatik/Wirtschaftsinformatik,-
Infarm,Project Manager (f/m),-
Würth IT,Duales Studium zum Bachelor of Science (m/w) Wirtschaftsinformatik Data Science,-
Planet Expat,Growth Hacker/Performance Marketer,-
Vivy GmbH,Business Intelligence Developer (BID) (m/f),-
Project A Ventures,Working Student Investment Team - Focus: Statistical Analysis (m/f),-
Klarna,Software Engineer - JavaScript,-
Quintiles Commercial Germany GmbH,Klinikreferent (m/w),1.015 Bewertungen
Zalando SE,Senior Digital Data Analyst,78 Bewertungen
Planet Expat,Implementation Manager,-
AUTO1 Group,Business Intelligence Engineer (m/f),27 Bewertungen
Physikalisch-Technische Bundesanstalt,"Wissenschaftler/in der Fachrichtung Elektrotechnik, Mathematik oder Informatik",-
Darwin Recruitment,Senior Data Scientist (3D Mapping),-
Conrad Electronic,Javascript Developer (m/f),10 Bewertungen
Darwin Recruitment,Lead Data Scientist - Machine Learning/Artificial Intelligence,-
Opinary GmbH,UX Designer (m/w) - Berlin,-
PROJECT A,Working Student Investment Team - Focus: Statistical Analysis (m/f),-
Wayfair,Pricing Business Analyst (m/f),321 Bewertungen
GetYourGuide,Graduate Backend Engineer,3 Bewertungen
OLX,"Data Engineer, Comms team (f/m)",-
Lendico Deutschland GmbH,Analytics Manager (f/m),-
HERE Technologies,"(Principal) Software Engineer - Open Location Platform, Core Data Services m/f",193 Bewertungen
Corning,Communications Manager EMEA (m/f),-
Zalando SE,(Senior) Data Analyst Pricing Analytics,78 Bewertungen
zLabels Platform Services GmbH & Co. KG,NetSuite Administrator - zLabels,-
HERE Technologies,Sr Creative Technologist,193 Bewertungen
Close.io,Customer Support Specialist // Close.io,-
Amazon.com,Software Development Internship - Robotics,24.701 Bewertungen
adsquare GmbH,AngularJS FE Developer (f/m),-
Amazon.com,Senior Designer,24.701 Bewertungen
Delivery Hero,Marketing Business Intelligence Analyst (f/m),7 Bewertungen
Peak Ace AG,"Full Stack Developer in Kharkiv, Ukraine",5 Bewertungen
Planet Expat,Back-End Software Engineer,-
GetYourGuide,Graduate Frontend Engineer,3 Bewertungen
Zalando SE,MicroStrategy Developer,78 Bewertungen
"HMKW Hochschule für Medien, Kommunikation und Wirt...",Professuren (50%-Stellen) in den Fachbereichen Design und Wirtschaft,-
Microsoft,Site Operations Manager,4.486 Bewertungen
sparks42 GmbH,DevOps Engineer,-
Wayfair,Business Analyst – Inhouse Consulting (m/f),321 Bewertungen
zLabels Platform Services GmbH & Co. KG,Senior Data Engineer - zLabels,-
Gallup,"Database Developer (m/w) - Berlin, Germany",-
Oliver Wyman,Werkstudenten (m/w) - für den Bereich „Competition Economics“,-
NERA Economic Consulting,Werkstudenten (m/w) - für den Bereich „Competition Economics“,-
Bonial International Gmbh,Lead Business and Process Analyst (m/f),-
Heartbeat Labs,Director Marketing & Data (m/f),-
Adikteev,Technical Recruiter // Adikteev,-
Deutsche Bahn,Senior Data Scientist (w/m) Procurement,391 Bewertungen
Meltwater,Fullstack Software Engineer - Premium Content,-
BKW,Internship as Junior Backend Developer on Azure (m/f),-
Taledo,Business Intelligence Data Engineer (m/f),5 Bewertungen
Amazon.com,Software Development Engineer,24.701 Bewertungen
Harnham,SENIOR DATA SCIENTIST (M/F) - FRAUD PREVENTION,-
Deutsche Bank,Risk Quant/ Senior Risk Quant (m/f) within Quant Institute,2.058 Bewertungen
Amazon.com,(Senior) Applied Scientist - Core AI (f/m),24.701 Bewertungen
Mimi Hearing Technologies GmbH,Research Partnership Manager (Healthcare) (m/f),-
Opinary GmbH,Product Owner User (m/w) - BERLIN,-
OUTFITTERY GmbH,Full-Stack Prototyping Engineer (m/f),-
Amazon.com,Sr. Applied Scientist,24.701 Bewertungen
GoEuro,Senior BI Analyst,-
PubNative,Business Intelligence & Yield Analyst Trainee (m/f) for PubNative,-
AirHelp,Product Manager Growth,-
NVIDIA,Automotive System Software Engineer,-
Infarm,Monteur/in / Montagehelfer/in / Produktionshelfer/in,-
Asana Rebel,Senior Business Intelligence Analyst (m/f),-
Corning,Werkstudent (m/f) Human Resources EMEA,-
Nutanix,"Director, Product Design",-
E.ON,Insight & Analytics Manager (m/f) for the Digital Attacker,74 Bewertungen
prime people,Data Engineer,-
Planet Expat,Software Engineer in Testing - QA,-
Amazon.com,Principal Evangelist AWS AI MXNet,24.701 Bewertungen
zLabels GmbH,Senior Data Warehouse Engineer - zLabels,-
Harnham,MACHINE LEARNING SCIENTIST (F/M),-
LI-COR,Technical Sales Consultant - North,-
Zalando SE,Research Engineer - Sizing,78 Bewertungen
optilyz,Full Stack Developer Node.js (m/f),-
Aspire,Senior Data Scientists,-
Venturi,"Data Engineer (m/w) – Berlin, bis zu 85.000 Euro p.a",-
Zattoo,Site Reliability Engineer,-
Körber IT Solutions GmbH,Cloud Infrastructure Engineer (m/f),-
Infarm,Supply Chain Manager (m/w),-
idealo internet GmbH,Data Platform - Senior DevOps Engineer,-
AUTO1 Group,Director Demand Intelligence (f/m),27 Bewertungen
Web Summit,Business Development Executive,-
BankenScore.de,Product Manager (Fintech),-
momox,Business Intelligence Developer (m/f) // momox,3 Bewertungen
Bayer,Country Launch and Competitor Excellence Manager (m/f),2.355 Bewertungen
Amazon.com,Partner Training Manager - DACH,24.701 Bewertungen
Wayfair,Merchandising Analyst (m/f),321 Bewertungen
HERE Technologies,Sr Service Designer,193 Bewertungen
Westcon-Comstor,Comstor Services Sales Lead - Europe (m/w),-
Planet Expat,Sales Executive,-
scondoo GmbH,Entwickler/Developer (m/w),-
Automation Anywhere,RPA Sales Engineer - DACH,-
Amazon.com,Program Manager VoC (M/F),24.701 Bewertungen
Bayer,Head of Pharmacovigilance System Operations (m/f),2.355 Bewertungen
DB,Artificial Intelligence Specialist for Digital Rail in Berlin (f/m),37 Bewertungen
SmartRecruiters Inc,Product Manager,-
N26,Product Manager - US,-
zenloop GmbH,Product Manager (m/f),-
media.net berlinbrandenburg,Cinuru: Backend & DevOps Guru,-
HERE Technologies,Sr Technical Writer,193 Bewertungen
Zeitgold GmbH,Full Stack Software Engineer (m/f),-
Würth IT,Bachelor of Science,-
foodora,Senior Software Engineer in Test (m/f),54 Bewertungen
Zalando SE,Head of Commercial Planning & Strategy,78 Bewertungen
Cisco,Junior Business Operations Manager – Security & Trust Office Germany - 1230301,3.891 Bewertungen
Experis,Solutions Architect (m/w) Big Data / Data Science,521 Bewertungen
Payments & Cards Network,Product Manager Payments,-
Eurobase People,Data Architect,-
Morressier GmbH,Head of Sales,-
Billie,Salesforce Developer (m/f),-
Zoetis,Diagnostics Business Manager,-
