company,job,number_of_evaluations
Alphanumeric Systems,Part Time IT service Desk Technician,-
Instituto Superior de Agronomia,3 bolsas individuais de doutoramento (BD),3 avaliações
"Dellent Consulting, Lda.",Java Software Engineer,-
Passio Consulting,BIG DATA DEVELOPER (M/F),-
Legartis.ai,Senior Frontend Engineer (Angular & TypeScript),-
OutSystems,Business Process Manager,12 avaliações
iBET,Job Ref. SBDD1/IBET/June2018,3 avaliações
ISCAL,Sourcing Analyst with English + Other Language,-
aspire technology,Senior Professional Services Network Management Engineer,-
Marvil56,iOS Developer (M/F),-
Amplexor,Information Systems Team Leader,-
Quantum Metric,Customer Success Engineer (European based),-
AirFind,Sr Android Developer,-
Timwe,Senior Database Administrator,-
Amplexor,IT Helpdesk Monitoring Team Leader,-
Nezasa,Site Reliability / DevOps Engineer,-
OutSystems,Senior OutSystems Developer,12 avaliações
caixamagica.pt,Backend & Infrastructure Developer,-
Coriant,Java Software Engineer - ext,-
Marvil56,Android Developer (M/F),-
VIA Software GmbH & Co KG,Senior Java Developer,-
HAYS,SAP ABAP Developer (M/F),566 avaliações
HAYS,SAP Functional/Technical Analyst MM (M/F),566 avaliações
HAYS,SAP Functional and Technical Analyst WM (M/F),566 avaliações
OutSystems,Data Engineering Tech Lead,12 avaliações
HAYS,SAP FI Senior Consultant (M/F),566 avaliações
