company,job,number_of_evaluations
CA Technologies,Sr Services Consultant,699 avaliações
Amazon.com,Technical Engagement Intern,24.701 avaliações
Cisco,Pre-Sales Systems Engineer - Brazil,3.891 avaliações
WSO2,Solutions Engineer - Pre Sales,-
DuPont,Lead Finance Analyst,946 avaliações
Syngenta,Estagiário Operações Comerciais / Commercial Operations Internship,656 avaliações
UL LLC,IMS Senior (Java) Software Engineer,-
AT&T,"Technical Specialist, Network Design (Vaga exclusiva para pessoas com deficiência)",29.106 avaliações
"JDA Software Group, Inc.",Solution Architect (TMS),-
FICO,Client Sales Partner (Payment Processors),-
SAS Institute,Pre Sales Academy - Brasil,122 avaliações
Procter & Gamble,"Management Internship in Research & Development - Louveira/ Campinas, São Paulo",4.407 avaliações
"JDA Software Group, Inc.",Solution Architect (Category Management),-
Netflix,Site Reliability Engineer,391 avaliações
AT&T,"Sr. Associate, Netwk Svcs Maintenance",29.106 avaliações
Intent Media,"Director, Business Development",-
Clarivate Analytics,Account Manager,-
Loggi,Finance Intern,2 avaliações
"Alexion Pharmaceuticals,Inc.","Sr Manager, Medical Affairs - Shua",82 avaliações
"Alexion Pharmaceuticals,Inc.","Sr Manager, Medical Affairs",82 avaliações
Docs Global,Clinical Site Manager II,-
Amazon.com,"Account Manager, Solution Providers",24.701 avaliações
JP Morgan Chase,CIB - Software Engineering - Associate - São Paulo,19.910 avaliações
Cargill,Application Development Manager I,2.602 avaliações
WSO2,Solutions Architect - Pre Sales,-
"Alteryx, Inc.",Sales Engineer - LATAM,-
dunnhumby,Price & Promotion Consulting Manager,-
dunnhumby,Resourcing Manager,-
amdocs,Software Development Team Lead @ São Carlos,821 avaliações
CAPCO,Technical Architect Design Authority Transformation Lead,-
Michael Page,Gerente de BI & Analytics,156 avaliações
CAPCO,Architecture and Design Head,-
Accenture,Web Developer,13.886 avaliações
Amazon.com,Cloud Technical Account Manager - Brazil,24.701 avaliações
Amazon.com,Territory Sales Account Manager- Mid-Market,24.701 avaliações
Amazon.com,"Manager, Solutions Architecture",24.701 avaliações
Ventura Tec,.Net Developer (Pl e Sr),-
Neoatlas,Data Engineer and Back-End Architect - Back-End | Sênior,-
dunnhumby,Account Manager (Media),-
Cial Dun & Bradstreet,Data Project Coordinator Jr,-
dunnhumby,Client Director,-
dunnhumby,Customer Knowledge Capability Director,-
Nubank,Data Scientist,-
Nubank,Data Scientist - Machine Learning Engineer,-
QuantumBlack,Principal Big Data Engineer (Sao Paolo),-
QuintoAndar,Performance Marketing Manager,-
DataRobot,Customer Facing Data Scientist,-
Rivendel,Estagiário,-
Vlocity,Technical Architect,-
SMART ADSERVER,Technical Support Specialist (Spanish Speaker),-
Easy,Data Scientist,163 avaliações
QuintoAndar,Data Product Manager,-
Tapps Games,Scrum Master,-
DogHero,Product Manager,3 avaliações
QuintoAndar,Product Manager,-
Tapps Games,Gerente de UA,-
INCOR Heart Institute University of São Paulo,Pos doc Fellowship on Computational Biomechanics,-
Vlocity,Solution Architect,-
Tapps Games,Coordenador de Desenvolvimento Mobile,-
Yellow,Planning and Process Analyst,44 avaliações
SOMOS Educação,Consultor de Gestão – Data Science,35 avaliações
QuintoAndar,Lead Data Engineer,-
Ministerie van Buitenlandse Zaken,Stage bij het Nederlands Consulaat te São Paulo,-
Tapps Games,Product Owner,-
Tapps Games,Desenvolvedor Mobile,-
Coriant,Sr Lead Program Mgr-Services,-
Javary Games,Junior Game Designer,-
Moip Pagamentos,SRE / Devops Engineer (Jr/Pl/Sr),6 avaliações
QuintoAndar,Lead Software Engineer,-
BEAUTIFUL LIFE STUDIOS,Back-end Web Developer,-
MasterCard,principal,360 avaliações
RecargaPay,Operations BI Sr. Analyst,-
Nubank,UI Engineer (React.JS),-
DogHero,Web Full Stack Software Engineer,3 avaliações
RecargaPay,Software Architect,-
Agile Content,Android Engineer,-
Vlocity,Vlocity Developer (Salesforce Configurator),-
Yellow,São Paulo City Operational Manager,44 avaliações
Zé Delivery,Software Engineer - Backend,-
Agile Content,.Net Architect,-
Agile Content,iOS Developer,-
SMART ADSERVER,Technical Support Team Leader - Americas,-
Fantozzi & Associates,Regional Technology Manager / VP,-
Agile Content,Agile Content - Backend Developer (.Net/Node.js),-
Agile Content,Senior Backend Developer (.Net/Node.js),-
DXC,Black Belt Consultant,1.377 avaliações
DXC,Project Analysis Consultant,1.377 avaliações
Red Ventures,Designer,-
Intent Media,"Director, Business Development (LATAM)",-
Voxy,Front End Software Engineer,5 avaliações
Voxy,Software Engineer,5 avaliações
Udacity,"Student Experience Lead, Data Programs",-
MediaMath,Ad Operations Associate,-
