company,job,number_of_evaluations
Connekt,Cientista de Dados,-
Intent Media,"Director, Business Development",-
REACHR,ANALISTA DE SISTEMAS SAS,-
-,Engenheiro de Software,-
-,Arquiteto de Sistemas,-
Loggi,Back-End Software Engineer,2 avaliações
Page Personnel,Executivo de Contas,111 avaliações
-,Analista Desenvolvedor Pleno,-
Synoro Negócios Inovadores,Estagiário para área de Desenvolvimento de Mercado,-
Accenture,Consultor de Data Science,13.886 avaliações
Synoro Negócios Inovadores,Analista / desenvolvedor JAVA Pleno e Sênior,-
REACHR,ANALISTA DE SISTEMAS SR - SP/19817,-
Mollica RH,Arquiteto de Sistemas\Soluções,-
Grupo EasyTech,Desenvolvedor Big Data Sênior,-
SAS Institute,Pre Sales Academy - Brasil,122 avaliações
-,Analista Desenvolvedor Sênior,-
Spotify,"Senior Client Services Manager, Partner Sales LatAm",-
Page Personnel,Arquiteto em Transformação Digital - Projeto Outsourcing,111 avaliações
HOLDEN Recruiting Talents,Arquiteto Big Data,-
Robert Walters,Analista de BI Pleno / Sênior,46 avaliações
Zarpo Viagens SA,Desenvolvedor(a) Magento Senior Full-Stack - Full Stack | Sênior,-
SAP,Digital Demand Agent Intern (Estagiário),1.598 avaliações
HPROJEKT,Gerente de Segurança de Informação,5 avaliações
-,Desenvolvedor Big Data,-
General Electric,Channel Partner Sales Manager - Brazil,220 avaliações
SAP,SAP Consultant - S4HANA Finance Controlling Architect,1.598 avaliações
CA Technologies,Sr Digital Account Manager,699 avaliações
managementsolutions,CONSULTOR DA NOVAS TECNOLOGIAS E TRANSFORMAÇAO DIGITAL,-
Accenture,Security Consultant,13.886 avaliações
-,Analista Consultor de Java Júnior,-
-,Desenvolvedor Java Sênior,-
Amazon.com,Cloud Technical Account Manager - Brazil,24.701 avaliações
MasterCard,UX Designer - Mobile and Web,360 avaliações
Hexacta do Brasil LTDA,Arquiteto Hadoop,-
Google,"Account Manager, Mobile App Sales (English and Portuguese)",2.392 avaliações
Michael Page,Gerente de BI & Analytics,156 avaliações
JP Morgan Chase,CIB - Software Engineering - Associate - São Paulo,19.910 avaliações
Return Path,Account Coordinator Intern,22 avaliações
Amazon.com,"Manager, Solutions Architecture",24.701 avaliações
NetCarreiras,Arquiteto de Soluções Digitais,-
Randstad,coordenador de crm e mkt,11.074 avaliações
REACHR,ANALISTA DE SISTEMAS BIG DATA PLENO / SÊNIOR,-
Telefônica,CONSULTOR GARANTIA RECEITA,579 avaliações
Connekt,Gerente de Segurança de Informação,-
Cial Dun & Bradstreet,Data Project Coordinator Jr,-
QuantumBlack,Principal Big Data Engineer (Sao Paolo),-
RSG Brasil,Analista Pleno de BI,-
Nubank,Data Scientist - Machine Learning Engineer,-
Arquivei,Data Engineer,-
Fast Dolphin,ETL Developer,-
DataRobot,Customer Facing Data Scientist,-
Finnet,Analista de Inteligência de Mercado,5 avaliações
Easy,Data Scientist,163 avaliações
EMC,Desenvolvedor Hadoop,-
Harpio,Engenheiro de Dados Sênior,-
DP6,Banco de Currículos,-
INEX SOFT,ENGENHEIRO DE DADOS,-
DP6,Digital Analytics,-
Shelterit Segurança Digital Tributária S/A,Executivo de Vendas – BI/Analytics,-
Cielo,Especialista de Data Analytics - Nível 11,103 avaliações
Fast Dolphin,Tableau Developer Senior,-
Dia Brasil Sociedade Ltda.,Especialista de Big Data,46 avaliações
QuintoAndar,Data Product Manager,-
INEX SOFT,ANALISTA DE INFRAESTRUTURA DevOPS / AWS (Sênior),-
KPMG,Trainee de Tecnologia ( TI ),4.383 avaliações
NeoGrid Software,Analista de Sistemas Sênior,12 avaliações
RSG Brasil,Consultor BI,-
Parafuzo,CTO (Chief Technology Officer),-
Moip Pagamentos,SRE / Devops Engineer (Jr/Pl/Sr),6 avaliações
Eurofins,Associate Director Corporate Development - Portuguese Speaking,-
CCEE,Analista de Monitoramento de Mercado Sr,12 avaliações
Nubank,UI Engineer (React.JS),-
Selecty Template,Desenvolvedor Big Data Sênior,-
DogHero,Product Manager,3 avaliações
QuintoAndar,Product Manager,-
Radar Profissional,Analista de BI - Pleno,-
Locaweb,1678 - ANALISTA DE SISTEMAS III - JAVA / BIG DATA,23 avaliações
Senior Solution,Analista de Suporte/Infraestrutura Sr,12 avaliações
The Hive Brasil,Desenvolvedor .Net (c#),-
RMPG-Right Move Personnel Group,Portuguese Customer Sales and Service,-
Fantozzi & Associates,Regional Technology Manager / VP,-
Elo Recursos Humanos,Desenvolvedor Java Pleno,-
Glovo,Content Analyst,-
Red Ventures,Designer,-
Intent Media,"Director, Business Development (LATAM)",-
Voxy,Software Engineer,5 avaliações
MediaMath,Ad Operations Associate,-
MediaMath,Commercial Lead; B2B SaaS,-
