company,job,number_of_evaluations
Digital Source,Data Analyst,-
StarApple,Golang Programmeur ( Big Data ),-
Booking.com,Sr. Fraud Analyst,413 reviews
McKinsey & Company,Product Owner - Digital McKinsey,361 reviews
Darwin Recruitment,Scala Developer - Machine learning platform - €70K,-
PwC,Business Process Specialist,5.524 reviews
OLVG,Researchverpleegkundige Oncologie en Hematologie,29 reviews
Fahr-Becker,Big Data Scientist,-
Booking.com,Platform Data Security Lead,413 reviews
Harnham,DATA SCIENTIST- ENGINEERING,-
Kraft Heinz Company,Supply Lead QSM and Affiliate Trade,2.879 reviews
Kraft Heinz Company,Intern Commercial Logistics,2.879 reviews
Atos,Graduates positions SMB IDM Amstelveen,1.626 reviews
Page Personnel,Client Data Coordinator,-
Immenso,Vacature Data Scientist,-
Arcadis,Business Intelligence (BI) Analyst,245 reviews
Brandweer,Informatiemanager,4 reviews
OpenText,Senior Systems Administrator,-
Atos,Junior Business Consultant,1.626 reviews
eBay Inc.,Software Engineer,1.395 reviews
Working Talent,IT Traineeship Big Data bij Working Talent Amstelveen,-
amdocs,DevOps Specialist (UXP),-
Elsevier,NLP Specialist,469 reviews
Kraft Heinz Company,Intern S&OP,2.879 reviews
InWork,Data Analist,4 reviews
ISS Facility Services,Innovatie Manager,3.286 reviews
Effectory,Junior Technisch Projectmanager (Customeyes),-
KPMG,Scriptant Digital Transformation,4.383 reviews
AnalysePeople,Senior Data Scientist – Financial institute – Amsterdam,-
Cargill,Value COE Commercial Process Advisor,2.602 reviews
OBI4wan,Python Developer (Django),-
KPMG,Senior Consultant Data Analytics,4.383 reviews
Brockmeyer Jobmarketing Experts,Accountmanager Jobmarketing,-
Geodan,Trainee Business Consultant,-
Netflix,"Consumer PR Manager, Spain and Portugal",-
Graydon Nederland BV,Accountmanager,6 reviews
Graydon Nederland BV,Key Accountmanager,6 reviews
CodeGuild,Data Driven Senior Scala Developer | up to € 100.000,3 reviews
VUmc,Klinisch Dataspecialist,33 reviews
ABN AMRO Bank,"Knappe koppen gevraagd (RA, RE, RO)",1.008 reviews
PHIND,Lead Data Science Consultant,7 reviews
KPMG,Consultant Strategy & Operations - Public Sector,4.383 reviews
Atos,Meeloopstage Accounts Payable binnen Finance van Atos NL,1.626 reviews
Atos,Meeloopstage Accounts Payable binnen Finance van Atos NL (P),1.626 reviews
Zoover,Sales Support Medewerker,-
PwC,Associate - Internal Audit Services,5.524 reviews
ConversionMob,UX Researcher,-
trainee.nl,Traineeship Security & Privacy,-
MVGM,Junior Taxateur O.Z.,-
MVGM Vastgoedtaxaties,Junior Taxateur O.Z.,-
TomTom,Talent Development Consultant,41 reviews
Netflix,"Tech Ops Specialist, EMEA",-
EY,Scriptiestage | WO | Performance Improvement | Data and Analytics (EMEIA FSO),5.232 reviews
Deloitte,Consultant Finance Transformation Banking,6.694 reviews
Deloitte,Consultant Finance Transformatie Banking,6.694 reviews
eBay Inc.,Senior Data Scientist,1.395 reviews
Picnic,Strategic E-commerce Consultant,25 reviews
Hot ITem,Consultant Promovendus,-
Vine Resources,Data Engineer,-
Cmotions Recruitment,Data Engineer,-
YourProfessionals,Data Engineer - Interim,-
Liberty Global,DevOps / Big Data Engineer,30 reviews
Graydon Nederland BV,Agile Tester,6 reviews
Harnham,DATA ENGINEER- DIGITAL,-
Brandweer Amsterdam-Amstelland,Informatiemanager,3 reviews
trainee.nl,Junior Data Analist in omgeving Amsterdam,-
Bits of Freedom,Weet jij altijd het juiste publiek te bereiken?,-
Avantium,System Administrator,-
NWO,Science Director/Director General of SRON,-
