company,job,number_of_evaluations
BPCE SA,CDI - Analyste Développeur confirmé – Big Data (H/F),35 avis
Natixis,Data Scientist (H/F),270 avis
Nexius Finance,Expert Big Data / Freelance,-
EMGS CONSULTING,Développeur Big Data N2 / Freelance,-
Capgemini,Data Scientist / H/F,5 578 avis
PALO IT,Architecte Big Data F/H,-
KPMG,Manager - Big Data Architect -Technology Transformation,4 383 avis
Avanade,Consultant(e) développement base de données / Big Data H/F,185 avis
AMARIS FRANCE SAS,Développeur Big Data F/H,-
Informatique CDC,Architecte Big Data H/F,2 avis
CAISSE NATIONALE ASSURANCE MALADIE TRAVAIL SALARIE...,Administrateur Systèmes - Plateforme Big Data F/H,-
Gazelle Global SAS,Big Data Developer / Freelance,-
OUI.sncf,Data Engineer (H/F),3 avis
ANAYA,Developpeur BIG DATA F/H,8 avis
Beezen,CONSULTANT BIG DATA Engineer – H/F,-
L2C,Développeur Fullstack Big data (Symfony 4/Angular 2+) F/H,-
Groupe Casino,Data Scientist Junior - Direction des Approvisionnements F/H,110 avis
Agence nationale des fréquences,Data scientist,-
Accengage,CDI - Développeur JAVA / BIG DATA F/H,2 avis
DECISION RH,CONSULTANT BIG DATA (H/F),-
TRISKELL CONSULTING,Architecte Big Data F/H,-
Data2I,Data Engineer F/H,-
ANALYSE INFORMATIQUE DE DONNEES,Manager big data analytics F/H,-
Atos,Stagiaire Consultant Analytics Big Data (H/F),1 626 avis
Groupe ADP,Alternance - Master 2 Big Data H/F,2 avis
GENIOUS SYSTEMES,INGÉNIEUR BIG DATA F/H,-
Business & Decision,Data Engineer (H/F),22 avis
AXA,Analyste Senior Maintenance & Qualité Big Data H/F,-
Younited Credit,CDI - Data Engineer (H/F),-
BNP Paribas,Data Scientist h/f – Digital Path - BNP PARIBAS IRB,57 avis
Scalian,Data Scientist H/F,6 avis
Alchimie,Data Project Manager (H/F),-
Renault,APPR - BAC+5 - Data engineer (qualité fournisseur) H/F,3 045 avis
WorldWide People,Pilotage technique (mise en production) BIG DATA / Freelance,-
Econocom,Data Analyste H/F,58 avis
AXA,Data Scientist (F/H),-
AXA,Data Scientist Claims Analytics (F/H),-
Fidel Technologies,Data Scientist,-
Criteo,Data Analyst France,21 avis
EDF,Data Analyst - H/F,1 124 avis
Itelios,"Data Analyst, Paris 9ième H/F",-
Itelios,Head of Data Analysis à Paris 9ième H/F,-
soft.computing,Chef de projet Data Science,-
Viveris,Ingénieur Logiciel IoT & Big Data F/H,6 avis
Shift Technology,Data Scientist (Portuguese),-
Ubisoft,Data Scientist – Analytics M/W,155 avis
EXteam,Ingénieur d’exploitation Big Data H/F / Freelance,-
ELANZ FR,DATA ENGINEER (H/F),-
Disneyland Paris,Alternance - Data Scientist F/H,459 avis
AMF,Data scientist (H/F),106 avis
soft.computing,Manager Data Science,-
DECISION RH,CONSULTANT BIG DATA F/H,-
Generali France,Data scientist IARD H/F,133 avis
YSANCE,Architecte Big Data F/H,-
Aquila Consulting,Expert Big Data,-
Eight Advisory,Data Scientist Expérimenté(e),-
GFI,Consultant(e) Big Data,90 avis
Ubisoft,Data Engineer (H/F),155 avis
CAP FI TECHNOLOGY,Data Engineer,-
AXA General Insurance,Data Scientist (F/H) - PARIS,682 avis
VULOG,Mapping & Data Trainee,-
Gazelle Global SAS,Data Ingénieur - Big Data DataStage Développer / Freelance,-
BTP CONSULTANTS,Data scientist F/H,-
MP,Data scientist Aerospace Junior F/H,-
EY,Consultant Data Scientist Débutant H/F,5 232 avis
DECISION RH,Consultant big data (H/F) (CDI),-
Sogeti France,Data Scientist H/F,20 avis
Raja,Data Scientist - H/F,13 avis
BNP PARIBAS Asset Management,Data Analyst h/f - BNP Paribas Epargne & Retraite Entreprises – Digital Path,57 avis
Content Square,Data Engineer,2 avis
Brand And Celebrities,Data Engineer Java (H/F),-
Quantmetry,BLOG,-
Monoprix,Chargé d'études Datamining F/H,969 avis
Sogeti France,Consultant Big Data H/F,20 avis
Shift Technology,Data Scientist,-
IQVIA,"Data Production Analyst, RWAS Technology",95 avis
E BIZNEXT,Data Engineer F/H,-
BNP Paribas,Data Engineer / Développeur Back End H/F,57 avis
Ercom,Data engineer H/F,-
L'Oréal,Machine Learning & Deep learning Scientist,2 411 avis
SULLY GROUP,Développeur Big Data F/H,3 avis
BNP Paribas,DÉVELOPPEUR DATA H/F,2 123 avis
Micropole,Consultant Data Scientist – H/F,9 avis
Shift Technology,Data Scientist (Intern),-
TALENTEED EMEA,Lead Dev/ Data & Analytics,-
Openfield,Data Engineer (H/F),-
,CTO - CDI Paris IIème,-
Nexity,Data Analyst (H/F) - Alternance,83 avis
HIGHTEAM,Développeur Big Data,-
EXteam,Chef de projet BI/BIG DATA H/F / Freelance,-
Openfield,Ingénieur DevOps Big Data (H/F),-
LCL - Fonctions Centrales,Responsable de projets SI BIG DATA H/F,-
Margo Conseil,Data engineer,-
Caisse des dépôts et consignations,Lead Data Scientist H/F (2018-04-0082),12 avis
TALENIA,Data Engineer F/H,-
Veolia,Contrat de Professionnalisation - DATA Scientist,1 930 avis
AREALTI BRAINPOWER,Ingénieur Solutions Big Data F/H,-
Doctolib,Data Engineer,2 avis
Innoscape,Python developer - Data extraction (stage / job étudiant),-
Econocom,Data Engineer H/F,58 avis
Sia Partners,Consultant(e) Data Science,6 avis
DAVIDSON TECHNOLOGIES,PRODUCT OWNER Big Data F/H,-
HNCS GROUPE,INGENIEUR SYSTEME VIRTUALISATION STOCKAGE BIG DATA WEB CLOUD,-
Deloitte,Data Analyst / M&A Transaction Services (H/F),6 694 avis
soft.computing,Consultant Data Science,-
AXA General Insurance,Junior Investment Data Quality Analyst - (F/H) - Apprenticeship,682 avis
PwC,Manager Data,5 524 avis
FNAC DARTY,Chef de projet Big Data H/F,8 avis
Fidel Technologies,Data Scientist-Spanish Speaking,-
Fidel Technologies,Data Scientist-German Speaking,-
UMANIS SA,Consultant Big Data F/H,2 avis
Groupe Andit,Ingénieur Front Data Dévelopeur,-
MIND7 CONSULTING,Développeurs JAVA/BIG DATA F/H,-
Renault,APPR - BAC+5 - Apprenti(e) Concepteur(trice) Développeur(se) Big Data Projet PLM Dashboarding H/F,3 045 avis
Econocom,Architect Data Management H/F,58 avis
AXA,Alternance – Data Science : Collecte et analyse de la donnée et production d’ indicateurs (Dashboard) H/F,-
Manomano,Data Engineer (H/F),-
Gazelle Global SAS,Big Data Engineer - Expert Developer / Freelance,-
HIGHTEAM,Développeur Big Data / Freelance,-
MP,Data Engineer junior ou confirmé secteur Aéronautique F/H,-
Sodexo France,Data engineer H/F,10 693 avis
Avanade,Manager Data Tech Integration Paris H/F,185 avis
Sia Partners,Consultant(e) - Data Analyst,6 avis
Nexter,Data Engineer / Data Scientist H/F,8 avis
AXA General Insurance,Data Analyst - Group Procurement / Claims (F/H) - Paris,682 avis
Enedis,Data-Scientist - H/F,321 avis
Phianiss,Consultant data,-
Philaë Technologies,Data architect H/F,-
Cogigroup,Architecte technique Big Data / Freelance,-
Aquila Consulting,Chef de Projet Data,-
SARL INOV,DATA SCIENTIST F/H,-
EDF,Alternance - IngÃ©nieur ou Master DATA MANAGER - LA DEFENSE - H/F,1 124 avis
26 ACADEMY,Expert Big Data / Data Scientist - Pour de l'Ingénierie pédagogique E-Learning - Freelance H/F,-
-,Vers une évaluation universelle du niveau de complexité des textes,-
TALENIA,Lead Data Scientist F/H,-
CAPFI VITADATA,Data Engineer F/H,-
SOFT COMPUTING,Manager BI/Big Data F/H,8 avis
HIGHTEAM,Intégrateur Big data / Freelance,-
DATAVALUE CONSULTING,Consultant(e) Big data F/H,-
Boursorama,INGENIEUR DATA (H/F)-(H/F),-
Micropole,CONSULTANT FORMATEUR EXPERT BIG DATA – H/F,9 avis
Informatica,Big Data Architect (S),122 avis
