company,job,number_of_evaluations
KRELL CONSULTING & TRAINING,PROJECT LEADER BIG DATA,2 valoraciones
Logicalis,Desarrollador Big Data.,56 valoraciones
Digital Demand - D2,Digital Demand Analyst - August/September,-
Digital Demand - D2,Digital Demand Analyst - July,-
GENNION SOLUTIONS,Analista de datos,-
Cabify,Business Analyst,50 valoraciones
DataRobot,Customer Facing Data Scientist,-
Apara Creadores de Mercapus SL,Beca IT - BI & Big Data,-
KRELL CONSULTING & TRAINING,Consultores BI (Business Intelligence),2 valoraciones
Hays Response,Consultor Big Data Junior,-
Transiris IT Consulting,Marketing Automation Consultant,-
"Seagull Scientific, Inc.",Multilingual Order Administrator EMEA,-
Formadores IT,Ingeniero Junior Cloud/Devops PreSales,-
Innovahead,Siebel Administrator,-
Jobandtalent Careers,Business Analyst,-
Axel Hotels,Practicas / Internship Business Analyst Barcelona EXCEL AVANZADO,-
DRAGO SOLUTIONS,Consultor Datastage,-
BAOSS,Desarrollador Big Data (Java / Scala / Python),-
Bismart,Presales & Bid Manager,-
Geoblink,Senior Data Scientist (Location Intelligence),-
Logicalis,Administrador de Sistemas BigData,56 valoraciones
Spotahome S.L.U.,Financial controller,-
Taiger,Software Engineer,-
Digital Origin,DevOps Engineer,-
CARTO,Technical Account Manager,-
Churchill Frank,Jefe de Proyecto Big Data,-
Xapo,Senior Information Security Process Analyst - Europe,-
HRCS,Programador Big Data,-
Fon,Product Manager,-
KRELL CONSULTING & TRAINING,ANALISTA PROGRAMADOR JUNIOR BIG DATA,2 valoraciones
Hays Response,Consultor Energético,-
Mediatonic,Game Developer,-
Walters People,Ingeniero de Infraestructura Big Data,-
FUNDACIÓN GOODJOB,Consultor TIC – Certificado discapacidad,-
Taiger,Full stack Developer,-
Sdad Iwantic S.L.,Especialista Cloud,-
Cabify,Software Engineer (Ruby),50 valoraciones
Avantes ervices,ANALISTA-PROGRAMADOR BUSINESS OBJECTS - REF.[3562],-
Taiger,Software QA Engineer,-
BETWEEN,Consultor Office365,6 valoraciones
Bismart,Account Manager,-
IT Partner España,Programador Java Senior con Spark,-
NewPoint,Buscamos tu talento,-
Taiger,Junior Project Manager,-
Taiger,Front-End Engineer,-
KRELL CONSULTING & TRAINING,ANALISTA PROGRAMADOR BIG DATA (UNIX y SQL),2 valoraciones
Digital Demand - D2,Sales Manager,-
"Cornerstone Search Group, LLC",Senior/Clinical Research Associate,-
Apache Media Group,Full Stack Developer,-
BETWEEN,DBA Oracle,6 valoraciones
Social You,Digital Analyst,-
M2C,Analista Qliksense,-
"Seagull Scientific, Inc.",Multilingual Channel Sales Representative EMEA,-
Glownet,Senior Ruby Back-end Developer,-
Social You,SEM Specialist,-
Jobandtalent Careers,Senior Ruby on Rails Developer,-
Persei vivarium,Web developer / SCRUM Master,-
Social You,SEM Senior Performance,-
IT Partner España,Arquitecto/a Java con exp. Microservicios Big data,-
Social You,Social Media ADS,-
Codemotion srl,Sales Manager,-
BETWEEN,Programador/a Python,6 valoraciones
M2C,Consultor BI Marketing Intelligence,-
DRAGO SOLUTIONS,Analista Programador Oracle (PL/SQL),-
Montarelo Consulting,Senior C# Developer (Madrid),-
Reputation Institute Spain,QA Engineer,-
Social You,Online/Digital Marketing Manager,-
BETWEEN,Programador/a .NET,6 valoraciones
BETWEEN,PROGRAMADOR/A C++,6 valoraciones
