company,job,summary
weave,Architecte big data (H/F), Analyser et formaliser des cas d'usages du Big Data. Vous êtes un Architecte big data reconnu pour votre expertise et intéressé par une aventure...
Itelios,"Data Analyst, Paris 9ième H/F"," Rattaché(e) au Pôle Data &amp; Consulting, nous recrutons un(e) consultant(e) data analyste pour renforcer l’équipe dédiée à l’accompagnement et au cadrage..."
C3 IoT,Data Scientist," Expérience avec des paradigmes Big Data (MapReduce, event processing, streaming). C3 IoT meets an urgent and fast-growing demand for enterprise scale Big Data,..."
AXA,Data Scientist (F/H)," Good awareness on Data Management practices as described for instance in the Data Management Body of Knowledge, including Data Lifecycle Management across Core..."
InnoValeur,DATA SCIENTIST," Idéalement vous avez une expérience autour des technologies Big Data, NoSQL, et DataViz, ou savez du moins comment en exploiter les données...."
ENGIE Digital,ENGIE Digital - Data Engineer (H/F)," Data Engineer (H/F). Diplômé(e) d’une École d'Ingénieur informatique ou Université ou BAC+3, vous avez idéalement une expérience dans la réalisation de projets..."
BNP Paribas,DÉVELOPPEUR DATA H/F, Ü Des connaissances Big Data seraient appréciées. Développeur Data H/F. Le développement de l’offre technique Big Data fait partie intégrante de la trajectoire....
Thales Group,Développeur Big Data (H/F)," Nous recherchons un/une Développeur Big Data (H/F). Le poste de développeur Big Data est fait pour vous ! De formation Bac+5 en informatique (école d’ingénieur,..."
GFI,DEVELOPPEUR BIG DATA H/F," Assurer le développement des composants de la plateforme Big Data :. Pour intervenir chez l‘un de nos clients grand compte, nous recherchons un Développeur Big..."
GFI,Data Scientist H/F, Gfi commercialise une plateforme dans le domaine du big Data et de l’intelligence comportementale. Il/elle sera formé tout en développant le projet avec l...
Malakoff médéric,ALTERNANT - Data Scientist H/F, Vous connaissez les environnements big data. ALTERNANT - Data Scientist H/F. Vous participez à la mise en oeuvre d'un produit data:....
MICROCORE,Ingenieur développement BIG DATA F/H, Réaliser la veille technique sur les technologies BIG Data. Concevoir et de développer les solutions reposants sur des technologies Big Data....
KPMG,Stagiaire FRM Credit & Market Risk / Data-scientist," Au sein de notre équipe « quantitative data science », vous serez amené(e) à effectuer des travaux exploratoires de recherche portant sur l’application de..."
BlueSoftGroup,BIG DATA SPARK (H/F) / Freelance," Une capacité à structurer la chaîne BIG DATA, de la récupération de la donnée jusqu’à son exploitation finale...."
UMANIS,CONSULTANT JUNIOR DATA F/H," (Big Data, Business Intelligence, Gouvernance des données, Data science),. Entreprise Créée il y a plus de 25 ans, Umanis est le leader français en Data (Big..."
In-Team,Directeur technique NTIC & Big data | Startup innovante," La connaissance de Scala, Hadoop, Mongo DB, Lucene, Solr / ou du Big data, du noSQL en général, est aussi un PLUS incontestable...."
Logware,Consultant Big Data H/F," En tant qu’Ingénieur Big Data, vos missions seront d’accompagner notre client pour :. Vous êtes passionnés par les bases de données et plus c’est volumineux,..."
WorldWide People,Consultant Big Data Graph / Freelance," Consultant Big Data Graph Mission de développement d'un système Big Data (Hadoop, Spark) pour un opérateur du domaine de l'énergie....."
Freelance.com,Consultant Big Data DataLAke / Freelance," Confirmé en Scala / Spark, Big Data (Pig, Hive, ..), Intégration et développement Hadoop. Pour notre client, un grand groupe bancaire, nous recherchons un..."
LOKAD,Senior Big Data engineer," As a senior Big Data engineer at Lokad, you will help us scale up to the largest supply chain challenges. A taste for low-level high performance computing and..."
