company,job,summary
BMW AG Automobil,Enterprise Architect (w/m)," - Idealerweise Erfahrungen in Cloud-Technologien, CI/CD, Big Data / Analytics und Machine Learning. Wir bieten Ihnen eine interessante und innovative Tätigkeit..."
IUBH Internationale Hochschule GmbH,Projektmanager (m/w/d) Digital Transformation / Artificial Intelligence (AI) in Education, Data Mining und Machine Learning Verfahren sind für Dich keine Fremdworte und idealerweise hast Du auch hier bereits erste fundierte Grundkenntnisse....
Accenture,Consultant (m/w) Artificial Intelligence / Künstliche Intelligenz – in Voll- und Teilzeit," Du entwickelst innovative Konzepte in den Zukunftsthemen AI, Machine oder Deep Learning. Erfahrung im Themenfeld Artificial Intelligence, Machine/Deep Learning...."
Airbus Group,Data Science Research Project Leader (f/m)," Data Structures &amp; Storage, Data Analytics &amp; Machine Learning, Data Visualization &amp; Presentation. Airbus Group Corporate Functions Munich...."
Allianz Private Krankenversicherungs-AG,Data Scientist," We are an analytics team, using machine learning, deep learning and artificial intelligence to develop data-driven solutions for international and national..."
BMW AG Automobil,Data Engineer (w/m)," In der IT-Abteilung Big Data, Machine Learning, Artificial Intelligence gewinnen wir gemeinsam mit den Fachbereichen Informationen aus diesen Daten, damit auf..."
Technische Universität München,PhD position on multimodal molecular neuroimaging and network analysis," Qualified candidates should be able to demonstrate • an excellent and recent Master's degree in biophysics, brain&amp;cognitive science, neuroimaging, (bio..."
iPAXX,Linguistik Entwicklung (m/w), Validate tools for statistical language recognition (machine learning). Für unseren Kunden suchen wir Unterstützung im Bereich KI!...
SDL,Tester - German Localisation - Graduate Level," O Opportunity to input to the Machine Learning team in the project. Full-time, on-site in Munich, Germany – around 6 months contract until the 31st December..."
Assystem,Freelancer (m/w) Industrie-Digitalisierung und Industrie 4.0," Assystem ist der Spezialist für HMI &amp; UX Lösungen, Machinensteuerungssoftware &amp; Automatisierung, sowie für Data Analytics &amp; Machine Learning im stark..."
Holidu GmbH,Data Scientist (m/w)," You engineer new features for our Machine Learning algorithms. A degree in Machine Learning, Computer Science, Mathematics or another relevant field...."
SDL Plc. Zweigniederlassung für Deutschland,Smartphone-Tester/in, Über uns SDL ist der Marktführer in den Bereichen Übersetzungstechnologie und -services sowie Content Management. Seit mehr als 20 Jahren unterstützt SDL...
BMW AG Automobil,Thesis Clustering of Fleet Data for Energy Prediction (f/m)," - Studies in computer science, mathematics, statistics, physics, engineering or related technical field with a focus on data science, data mining, machine..."
Munich Re,Data Scientist and Computational Linguist," Our RID1.4.2 AI Department analyses data and creates models of underlying relationships. The data can be internal, external, structured or unstructured. The..."
Swiss Life,Werkstudent (m/w) für Data Science, Sie verfügen über theoretische Kenntnisse in Machine Learning und modernen statistischen Verfahren und konnten darin idealerweise bereits praktische Erfahrungen...
DRÄXLMAIER Group,Praktikant / Werkstudent (m/w) Machine Learning, Koppelung der Machine Learning Umgebung via Simulation und Cloud. Aufbauen einer Toolkette zur strukturieren Entwicklung von Machine Learning Algorithmen....
DLR - Deutsches Zentrum für Luft- und Raumfahrt,The Potential of Earth Observation for Object Inventories," Optimally, experience with machine learning frameworks (e.g. The DFD department “Land Surface Dynamics” quantifies global environmental change and analyses the..."
BMW AG Automobil,Verfasser einer Studienabschlussarbeit im Bereich Automatisierte Straßenmodellerzeugung (w/m)," Aufgaben Wir, die BMW Group bieten dir eine interessante Studienabschlussarbeit im Bereich Forschung und Entwicklung von hochgenauen digitalen (HD-) Karten..."
CRX Markets AG,Data Scientist," Derive business insights and influence decision Excellent understanding of machine learning and. Select features, build and optimize machine Proficient with..."
Futurice,Data Scientist," Machine learning, statistics. You will be constantly learning new technologies. To fit the role you have a broad understanding of the entire landscape of..."
Siemens AG,Research Scientist (m/f/diverse) – Deep Learning," Participate in cutting edge research in machine intelligence and machine learning applications. PhD degree in computer science, artificial intelligence, machine..."
Apple,"Siri - Senior Language Technologies R&D Scientist/Engineer (Munich, Germany)"," Experience in deep machine learning and related toolkits, e.g. Tensorflow, PyTorch and Dynet, etc. The Siri team is looking for exceptionally skilled and..."
Technische Universität München,Project AI Developer and Engineer – Intern / Working Student," Knowledge towards implementing and understanding of state-of-the-art machine learning approaches (e.g. As a working student in the area of AI, you will work on..."
HSO,JUNIOR DIGITAL INNOVATIONS CONSULTANT (M/W)," IoT, Machine Learning und Augmented Reality an. Erste Erfahrungen mit IoT, Machine Learning und Augmented Reality sowie ERP- und CRM-Lösungen sind von Vorteil...."
iPAXX,Data Scientist (m/w), Evaluierung von Machine Learning Tools und Algorithmen. Sehr gute Kenntnisse in statistischer Modellierung und Machine Learning Algorithmen sowie moderner Data...
Allianz Global Corporate & Specialty,Working Student Data Scientist in Global Claims Analytics (m/f/d)," Currently enrolled in University (ideally studying Computer Science, Statistics, Engineering, or other areas with a strong focus on quantitative analysis)Strong..."
Microsoft,Data & Applied Scientist," Experience in an area such as massive database applications, parallel or distributed processing, large scale data mining, machine learning, deep learning, and..."
Munich Re,Data Scientist, Very good knowledge of machine learning algorithms (e.g. Developing advanced machine learning models and telematics driving score propositions for different...
Microsoft,Consultant – Data and Artificial Intelligence," Skills and interest in Machine Learning, Python and Linux would beneficiary. Who We Are...."
Technische Universität München,IDP Project: Driver behavior modeling with social LSTM," Experience in both the theory and practice of machine learning, data mining, algorithms, statistical and pattern recognition...."
E.ON,Data Scientist for NLP and Text Mining (m/f)," Research and implement data mining and machine learning modules able to deal with entity, event and relationship extraction from unstructured collections...."
UnternehmerTUM GmbH,Working Student: AI Junior Engineer," Software Engineering / Machine Learning / Robotics. Machine learning, robotics, computer science, data science. And / or learning styles...."
Blickfeld GmbH,Werkstudent Elektronik (m/w)," Messtechnik, Optik, Optoelektronik, Laser, FPGA Programmierung, Machine Learning. Als Werkstudent Elektronik (m/w) unterstützt du unsere Ingenieure im Bereich..."
Allianz Technology SE,Robotics Consultant - Intern/Working Student (m/f/d)," As a new service from Allianz Technology, we provide automation solutions to Allianz entities around the globe, from mature solutions such as robotic process..."
Airbus Group,Project Leader - Data Analytics (m/f)," Knowledge of data science techniques, e.g. data mining, machine learning etc. Airbus Group Corporate Functions Munich...."
BMW AG Automobil,Praktikant Advanced Analytics Produktion (w/m), Darüber hinaus erhältst du einen Einblick in das Gebiet Advanced Analytics und lernst dabei die Anwendung von Machine Learning-Algorithmen näher kennen....
Assystem,Begeisterter Junior Softwareentwickler (m/w)," Assystem ist u.a.Spezialist für HMI &amp; UX Lösungen, Maschinensteuerungssoftware &amp; Automatisierung sowie für Data Analytics &amp; Machine Learning in einem sich..."
IDnow,Second Level Support (m/f/d), IDnow is one of Europe’s fastest growing FinTechs using machine learning to build an effective Identity-as-a-Service platform that can verify in real time the...
Idnow,User Experience Designer (m/f/d), IDnow is one of Europe’s fastest growing FinTechs using machine learning to build an effective Identity-as-a-Service platform that can verify in real time the...
iPAXX,BOT Entwicklung (m/w), Experiences building bots or machine learning. Build applications (Bots) for human-machine interaction in natural language (German)....
NVIDIA,Automotive Lab Technician," You will perform components soldering, including hand soldering for passive/active components on the PCB, BGA package components using BGA soldering machine,..."
IDnow,Product Owner (m/f/d), IDnow is one of Europe’s fastest growing FinTechs using machine learning to build an effective Identity-as-a-Service platform that can verify in real time the...
Aboalarm,Data Scientist fintech (m/w), Erste praktische Erfahrung im Bereich Data Science oder Machine Learning. Was du mitbringen solltest…....
NorCom Information Technology,Data Scientist (m/w)," Du verfügst über praktische Erfahrung im Bereich Machine Learning und Deep Learning, Du arbeitest mit SparkML, scikit-learn, nltk, tensorflow, u.a...."
Microsoft,Business Process & Analysis Manager, You drive digital transformation in the finance function towards data driven (Machine Learning) forward-looking insights....
Airbus Group,Digital Architect (m/f)," Solid experience in digital technologies e.g. cloud, machine learning, big data analytics. Advise venture team on digital technologies e.g. cloud, machine..."
