company,job,summary
MARCEL,Data Analyst F/H," La connaissance d'outils de Data Visualisation (type Tableau, Qlikview,..). Le traitement de grandes bases de données avec des outils spécifiques (connaissances..."
Shift Technology,Data Scientist (DE)," Understand insurance data and fraud mechanisms; As for the solution, our data scientists must be able to produce predictions justified with intelligible..."
Ubisoft,Data Scientist – Analytics M/F," Knowledge of usual data analysis languages (SQL, R, Python), data viz tools, big data stacks. As a Data Scientist, you will be working in the Ubisoft EMEA Data..."
CGI,Architecte Big Data H/F," Vous connaissez les principaux enjeux autour de la Data Science et de la Dataviz et maintrisez les composants Big Data (Hadoop, Spark, Hive, Impala, Flume, NiFi..."
Dentsu Aegis,Consultant DATA H/F," Vous participerez à la mise en place de la stratégie data des annonceurs en couvrant les volets datamining, data science et gestion de campagnes pour lesquels..."
Showroomprive.com,DATA SCIENTIST - H/F," De formation Ingénieur ou équivalent (Bac+5) en Informatique, Statistiques ou Data Science, vous justifiez d’au moins 2 ans d’expérience sur un poste similaire...."
Autorité de régulation des activités ferroviaires,Economiste / Data scientist," Économie appliquée, data science, économétrie/statistique, mathématique et informatique décisionnelle ; Expérience professionnelle souhaitée d'au moins trois..."
Carrefour,Data scientist H/F, Vous avez disposez d’une formation supérieure en data science et des compétences suivantes :. Les pôles Data des pays....
BNP Paribas Corporate & Institutional Banking,DATA SCIENTIST H/F – CIB DIGITAL PATH – BNP PARIBAS CORPORATE & INVESTMENT BANK," Data Scientist – CIB digital Path – BNP Paribas Corporate &amp; Investment Bank. A chacune de ses missions, vous enrichirez et approfondirez votre maitrise des..."
Veolia,Data Scientist H/F," Ingénieur (mathématiques, statistiques,data science ou généraliste) ou Bac+4, Bac+5. Et une capacité à analyser, modéliser et créer des data products dans un..."
Thales Group,Data scientist orienté recherche en machine learning (H/F), Le laboratoire de data science recherche un/une data scientist orienté recherche / machine learning pour des applications dans le domaine de la cybersécurité et...
SOFT COMPUTING,Manager Data Science F/H," Manager Data Science. Gérez et pilotez les projets Data Science. Notre centre de compétence spécialisé en Data Science,...."
FNAC DARTY,Data Scientist H/F," Data Scientist H/F. Diplômé d'un Bac+5 en école d'ingénieur et/ou Université avec une spécialisation en statistiques, mathématiques ou data science, vous..."
BEEZEN,DATA SCIENTIST," De formation supérieure Bac+4/5 dans le domaine du traitement de l'information, de l'ingénierie statistique et de l'économétrie, vous justifiez idéalement de..."
DANONE,Hydration Data Scientist," Innovate and optimize in the field of data management, analysis and interpretation, on worldwide data of fluid intakes , health data and market sales data, in..."
Meritis Finance,Data Scientist (H/F), #Big Data #Conduite de projet #Conception d'application #Python #R #Algorithmes. Ce Datalab est opérationnel depuis 1 an avec divers projets Data Science et a...
