company,job,summary
BMW AG Automobil,Doktorand Automatisierte und Selbstoptimierende Erkennung von Anomalien in Fahrzeugtraces mit Methoden des Data Mining (m/w), Hierzu werden laufend neue Methoden aus dem Bereich Big Data und Data Mining untersucht sowie bewertet. - Kenntnisse aus dem Bereich High Performance Computing...
PAYBACK,Junior Data Engineer (m/w)," Du bist mitverantwortlich für den Aufbau, Betrieb und die Optimierung der PAYBACK Big Data-, Realtime-Umgebungen. Junior Data Engineer (m/w)...."
MAN Truck & Bus,Data Engineer (w/m), Job Purpose/Role # Du verfügst über Erfahrungen im Bereich Data Warehouse und im Umgang mit BI-Tools und Oracle Datenbanken # Du bist verantwortlich für die...
Denodo Technologies,Data Engineer - SQL / Big Data / Java / Cloud," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. As a Data Engineer - SQL / Big Data (m/f) you will successfully employ a combination..."
ASAP Holding,Projektingenieur | Big Data Automotive (m/w), Die Steuerung von Entwicklungsprojekten von Big Data Lösungen. Projektleitung für die Entwicklung von Big Data Lösungen im Bereich Mess- und Simulationsdaten....
Trivadis,Big Data Platform Engineering Consultant (m/w), Gemeinsam unterstützen wir unsere Kunden vor Ort in unterschiedlichen Big Data Projekten. Du konntest bereits erste Erfahrungen im Big Data Umfeld sammeln und...
iPAXX,Data Scientist Migration DWH (m/w), Fundierte Kenntnisse und praktische Erfahrungen in einer Big Data Umgebung. Automatisierung und Weiterentwicklung von Ladeläufen innerhalb der Big Data und...
Denodo,Data Engineer - SQL / Big Data / Java / Cloud," Basic experience in Big Data, NoSQL, and InMemory environments is welcome. As a Data Engineer - SQL / Big Data (m/f) you will successfully employ a combination..."
BMW AG Automobil,Praktikant Natural Language Processing (w/m), In unseren Use Cases nutzen wir eine interne Big Data Plattform und einen umfangreichen Data Science Toolstack....
CRX Markets AG,Data Engineer," Develop data infrastructure with pipelines for Proficient in working with big data frameworks. Processes Expertise in data-processing architectures, data...."
ebp-consulting,Mitarbeiter (m/w) Datenanalyse, Einarbeitung in und Mitarbeit an innovativen Themenfeldern wie Big Data. Datenvisualisierung und Data Science basierend auf großen Datenbeständen....
BearingPoint,"Technology Consultant (m/w) Big Data Analytics Automotive am Standort Stuttgart, München, Frankfurt", Prozessberatung sowie die erfolgreiche und effiziente Projektabwicklung von Big Data Analytics Projekten. Analyse von Datensets mit Hilfe von Algorithmen und...
Assystem,Spezialist (m/w) Big Data - Software," Big Data Technologien (u.a. Eigenverantwortliche Konzeption, Implementierung wie auch die spätere Administration von Big Data Lösungen...."
CGI,(Senior) Big Data Architekt (m/w)," Mehrjährige Erfahrung mit Datawarehousing und modernen Big Data Technologien (z.B. Für dieses suchen wir Verstärkung, um unseren Kunden im Raum München..."
FlixBus,Data Engineer - Network Planning M/F/X, Experience with big data technologies and relational databases (eg. Data Engineer - Network Planning M/F/X....
Westwing Home & Living GmbH,Data Engineer (m/f), Two or more years of experience in data warehousing and handling big amounts of data. Experience with cloud-based ETL processes and data warehousing....
PAYBACK,Data Engineer (m/w)," Data Engineer (m/w). Du hast Erfahrungen in den gängigen Technologien im Umfeld von Big Data (hadoop), Datenbanken (z.B...."
Kantar,Consultant Data Science (m/w/divers), Kantar sucht zur Unterstützung für unser Data Analytics Team am Standort München eine/n engagierte/n und motivierte/n Data Science Consultant (m/w/diverse)....
TrustYou,Data Engineer," Experience with Big data technologies (Hadoop, Spark, Flink, Hive, Impala, HBase, Pig, Redshift, Kafka)...."
Zeppelin GmbH,Group Data Manager," Im Rahmen der Data Governance kombinieren Sie methodisch die Disziplinen Data Quality, Data Management, Data Policy und Risk- und Security-Management...."
innosabi,APPLY HERE, Kompetenzprofilen oder Big Data Analytics schaffen. Human Resources Manager....
Huawei,Data Scientist / Data Engineer (m/f)," Data Scientist / Data Engineer (m/f). Rapid prototyping of innovative features using Big Data platforms (e.g., Spark, Kafka, HDFS);..."
CHECK24 Vergleichsportal,Senior Data Scientist / Machine Learning Developer (m/w) Shopping, Zur Optimierung unseres Preisvergleichs suchen wir einen Senior Data Scientist / Machine Learning Developer (m/w) am Standort München....
BMW AG Automobil,Senior Data Engineer Autonomous Driving (f/m)," - Background in data analytics and experience in modelling complex big data architectures is a plus. In addition, you will support machine learning scientists..."
OSB AG,Big Data Architekt (m/w/d)," Im Rahmen der Data Governance kombinieren Sie methodisch die Disziplinen Data Quality, Data Management, Data Policy und Risk- und Security-Management...."
CHECK24 Vergleichsportal,Produktmanager (m/w) im Bereich Data Integration / Big Data, Unterstützung von neuen datengetriebenen Geschäftsmodellen auf Basis der neuen Big Data Plattform. Kontinuierliche Weiterentwicklung des Produktportfolios und...
FlixBus,Data Engineer M/F/X, Experience with big data technologies and relational databases (eg. Data Engineer M/F/X. Several years of experience as Data Engineer or Software Engineer....
AVANTGARDE Experts GmbH,Big Data Developer (m/w), Big Data Developer (m/w). Konzeption von adäquaten Datenmodellen in der Big Data Umgebung. Konzeption und Entwicklung spezieller und hochkomplexer...
Oracle,Senior Vertriebsbeauftragter (m/w) für Business Analytics und Big Data IC3/IC4, Senior Vertriebsbeauftragter (m/w) für Business Analytics und Big Data IC3/IC4-18000OYO. Sicheres Bewegen innerhalb der Business Analytics und Big Data Partner...
Zentrale der Fraunhofer-Gesellschaft,Referentin / Referent Business Development ICT, Big Data / KI. Die Hauptabteilung Technologiemarketing entwickelt den Technologietransfer bei Fraunhofer auf Unternehmensebene systematisch weiter und...
ESG Elektroniksystem- und Logistik-,Senior Data Scientist (m/w), Erfahrener Data Scientist (Expert Level) im Geschäftsfeld CYOSS / Data Analytics / Kompetenzcluster Data Science Evaluation und sichere Beherrschung aktuellster...
ProSiebenSat.1 Media SE,Big Data Softwareentwickler (m/w) im Data Competence Center," Big Data Softwareentwickler (m/w) im Data Competence Center. Bündelt, suchen wir einen Big Data Software Entwickler (m/w)...."
Freeletics,Data Engineer - Business Intelligence (m/f)," Import data from various external and internal sources , including big data platforms or non-relational databases...."
ESG Elektroniksystem- und Logistik-GmbH,Senior Data Scientist (m/w), Big Data DB. Erfahrener Data Scientist (Expert Level) im Geschäftsfeld CYOSS / Data Analytics / Kompetenzcluster Data Science....
Horváth & Partners,Praktikant oder Werkstudent (m/w) im Bereich Big Data/Internet of Things, Als Praktikant oder Werkstudent (m/w) im Bereich Big Data/Internet of Things unterstützen Sie unser Team bei unseren Entwicklungsprojekte und Lösungen im...
Riverland Reply,Senior Consultant Big Data & Artificial Intelligence (m/w), Internes Knowledge-Sharing im Bereich Big Data und Artificial Intelligence. Beratung und Optimierung der Kundenprozesse im Bereich Big Data und AI....
ESG Elektroniksystem- und Logistik-GmbH,Data Architect (m/w), Big Data DB. Erfahrener Data Scientist (Expert Level) im Geschäftsfeld CYOSS / Data Analytics / Kompetenzcluster Data Science....
AVL,Abteilungsleiter Applikationssupport (m/w)," Sie bringen Erfahrung in mindestens einen der oben genannten Bereiche mit, idealerweise ADAS oder Big Data...."
DLR - Deutsches Zentrum für Luft- und Raumfahrt,The Potential of Earth Observation for Object Inventories, Experience in the automated analysis of earth observation data or other extensive image data archives (photo databases etc.)....
EY,Consultant (w/m) Data Analytics – Wirtschaftsprüfung, Gemeinsam zukunftsweisende Lösungen für die Wirtschaftswelt von morgen entwickeln: Das ist das Ziel unserer 10.000 Kolleginnen und Kollegen an deutschlandweit...
Atos,Internship at Atos in the department Global Siemens Alliance," Serving a global client base, the Group provides Consulting &amp; Systems Integration services, Managed Services &amp; BPO, Cloud operations, Big Data &amp; Cyber-security..."
C3 Creative Code and Content,Strategist Data Analytics & Performance (m/f)," Unterstützung im Betrieb, Optimierung und Ausbau der Big Data / Analytics Plattformen im Kundeneinsatz. Erfahrung im Bereich Web Analytics (-Tools) und Data..."
HLB Deutschland GmbH,Diverses," Big Data) insb. LKC Bauer, Konold &amp; Kollegen Steuerberatungsgesellschaft, Rechtsanwaltsgesellschaft mbH Für unseren Standort in Ottobrunn bei München mit 20..."
Holidu GmbH,Senior Data Analyst (m/f)," Visualize and interpret data using state of the art Big Data analytics tools. Big Data and Machine/Deep Learning with Elasticsearch, Redshift, Spark and..."
SugarCRM,Business Development Representative (Spanish speaking), Manage data quality issues with leads in the queue. Comfortable working with a very high throughput of leads and data flow....
Holidaycheck,(Senior) Software Engineer - Big Data (f/m), Prior experience with scaling ETL projects and a big data platform is advantageous. Help internal clients with pragmatic strategic &amp; ad-hoc data requirements....
Westwing Home & Living GmbH,DWH Developer / Data Architect (m/f)," Two or more years of experience in BI data warehousing and handling big amounts of data. Experience with ETL processes, cloud-based data warehousing and data..."
iPAXX,(Senior) Data Scientist (m/w)," Die Modellierung und Entwicklung der Fragestellungen mit Data Science und Analytics Methoden inklusive Machine / Deep Learning sowie Artificial Intelligence,..."
